Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,21,253,21,1,12.0,1.2,2.9,.426,0.0,0.0,.000,1.2,2.9,.433,1.2,1.3,.893,0.6,2.1,1.2,0.6,0.2,0.6,1.6,3.7
Bella Alarie,DAL,C-F,31,407,31,11,13.1,1.0,2.1,.500,0.0,0.1,.000,1.0,2.0,.516,0.5,0.6,.850,1.4,3.3,0.5,0.6,0.6,0.6,1.4,2.6
Lindsay Allen,IND,G,32,571,32,8,17.8,2.0,4.8,.428,0.4,1.5,.298,1.6,3.3,.486,0.9,1.2,.811,0.3,1.5,3.0,0.5,0.1,1.0,1.1,5.4
Rebecca Allen,NYL,F-G,25,615,25,13,24.6,3.0,8.6,.343,1.9,5.0,.381,1.0,3.6,.289,1.3,1.5,.892,0.8,3.7,1.1,1.6,1.2,0.8,2.2,9.2
Jillian Alleyne,WAS,C-F,2,8,2,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.5,2.0,0.0,0.5,0.0,0.0,0.0,0.0
Ariel Atkins,WAS,G,30,918,30,30,30.6,5.4,13.2,.407,2.2,6.1,.359,3.2,7.1,.448,3.3,3.9,.831,1.1,2.8,2.6,1.6,0.5,2.0,3.2,16.2
Rachel Banham,MIN,G,27,341,27,0,12.6,1.9,4.8,.395,1.0,2.8,.373,0.9,2.0,.426,0.2,0.3,.625,0.1,1.2,1.6,0.3,0.1,0.9,1.7,5.0
Monique Billings,ATL,F,31,740,31,9,23.9,3.2,6.5,.495,0.0,0.1,.000,3.2,6.5,.500,1.7,2.5,.675,2.8,6.5,1.0,1.2,1.0,1.4,2.5,8.1
Sue Bird*,SEA,G,30,832,30,30,27.7,3.5,8.2,.431,2.2,5.3,.419,1.3,2.9,.453,0.7,0.8,.833,0.3,2.6,5.3,0.9,0.1,1.6,1.0,10.0
DeWanna Bonner,CON,G-F,32,1022,32,32,31.9,5.0,12.6,.395,1.4,4.3,.317,3.6,8.3,.436,3.9,4.3,.892,0.7,6.4,3.5,1.3,0.7,2.2,1.6,15.2
Brittany Boyd,CHI,G,2,22,2,0,11.0,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,.000,0.5,1.0,.500,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0
Crystal Bradford,ATL,F,24,440,24,9,18.3,3.4,8.0,.429,1.2,3.4,.358,2.2,4.6,.482,0.8,1.6,.462,1.3,3.8,1.5,1.2,0.4,1.0,2.3,8.8
