Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,34,843,34,29,24.8,3.9,8.8,.443,1.3,3.0,.446,2.6,5.8,.442,1.1,1.3,.837,1.6,4.4,2.5,1.3,0.1,2.0,2.5,10.1
Chantelle Anderson,SAS,C,11,86,11,1,7.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,0.7,1.1,.667,0.5,1.8,0.3,0.1,0.5,0.5,1.0,2.5
La'Tangela Atkinson,SAC,G-F,28,226,28,0,8.1,0.8,1.7,.468,0.0,0.1,.000,0.8,1.6,.489,0.5,0.7,.737,0.5,1.6,0.5,0.4,0.2,1.2,0.5,2.1
Seimone Augustus*,MIN,G-F,34,1093,34,34,32.1,8.7,17.1,.508,0.8,1.8,.419,7.9,15.3,.518,4.4,5.1,.873,1.1,4.0,2.3,1.2,0.6,2.4,1.7,22.6
Alison Bales,IND,C,17,169,17,0,9.9,1.4,2.5,.571,0.0,0.0,,1.4,2.5,.571,0.4,0.5,.875,0.7,2.6,0.1,0.2,0.8,0.4,0.8,3.2
Mistie Bass,HOU,F,19,101,19,0,5.3,0.5,1.7,.281,0.0,0.1,.000,0.5,1.6,.290,0.2,0.8,.250,0.7,1.5,0.3,0.3,0.3,0.6,0.8,1.2
Ashley Battle,NYL,F,34,757,34,5,22.3,2.6,7.2,.365,0.9,2.7,.312,1.8,4.4,.397,1.3,1.7,.776,0.9,3.7,1.6,1.0,0.1,1.4,1.5,7.4
Alana Beard,WAS,G-F,33,1169,33,33,35.4,6.8,16.3,.416,1.4,4.4,.322,5.4,11.9,.450,3.8,4.5,.847,0.8,4.2,3.0,1.9,0.7,2.8,3.2,18.8
Tully Bevilaqua,IND,G,34,901,34,34,26.5,1.9,4.4,.440,1.0,2.6,.371,1.0,1.8,.541,0.4,0.6,.682,0.4,2.2,2.7,1.6,0.1,1.6,2.6,5.3
Sue Bird*,SEA,G,29,919,29,29,31.7,4.1,9.5,.428,1.6,4.6,.338,2.5,4.9,.510,0.8,0.9,.846,0.3,2.0,4.9,1.5,0.3,2.3,1.6,10.4
Nikki Blue,WAS,G,30,420,30,1,14.0,1.2,3.6,.324,0.2,0.9,.222,1.0,2.7,.358,1.0,1.2,.838,0.4,2.1,1.6,0.7,0.2,1.2,1.8,3.6
Lindsay Bowen,NYL,G,6,37,6,1,6.2,0.5,1.7,.300,0.5,1.0,.500,0.0,0.7,.000,0.0,0.0,,0.0,0.3,0.2,0.0,0.0,0.7,0.0,1.5
Kara Braxton,DET,C-F,31,545,31,20,17.6,2.7,6.1,.447,0.0,0.0,,2.7,6.1,.447,1.3,1.9,.672,1.7,5.4,0.5,0.5,0.5,2.0,2.9,6.7
Rebekkah Brunson,SAC,F,33,932,33,29,28.2,4.3,9.0,.473,0.0,0.1,.000,4.3,8.9,.480,2.9,4.2,.686,3.9,8.9,0.7,1.3,0.9,1.8,2.4,11.5
Janell Burse,SEA,C,29,709,29,29,24.4,3.2,7.2,.445,0.0,0.0,.000,3.2,7.2,.447,2.4,3.5,.693,2.3,5.3,0.8,0.4,1.0,2.0,3.0,8.8
Latasha Byears,HOU,G-F,30,327,30,0,10.9,2.2,3.7,.591,0.0,0.0,,2.2,3.7,.591,0.7,1.2,.583,1.2,2.5,0.5,0.8,0.2,1.2,2.0,5.0
Dominique Canty,CHI,G,30,776,30,27,25.9,2.9,8.0,.361,0.1,0.5,.250,2.8,7.5,.369,2.7,3.8,.704,0.6,2.1,4.1,1.0,0.1,1.9,1.4,8.6
Jamie Carey,CON,G,33,419,33,0,12.7,1.1,3.1,.366,1.0,2.2,.451,0.2,0.9,.167,0.2,0.2,.750,0.0,0.9,0.9,0.1,0.0,0.5,0.9,3.4
Swin Cash*,DET,F,31,959,31,31,30.9,4.1,9.9,.410,0.0,0.1,.000,4.1,9.8,.414,3.0,3.9,.760,1.7,6.1,2.5,0.6,0.4,2.6,2.3,11.1
Iziane Castro Marques,SEA,F-G,34,963,34,34,28.3,4.1,9.7,.420,1.8,4.6,.385,2.3,5.1,.451,2.4,3.0,.802,0.6,2.8,2.8,1.0,0.1,1.9,2.1,12.3
Tamika Catchings*,IND,F,21,678,21,21,32.3,5.1,12.3,.417,1.1,3.5,.311,4.0,8.8,.459,5.2,6.3,.820,2.6,9.0,4.7,3.1,1.0,3.0,3.0,16.6
Cori Chambers,CON,G,1,1,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kayte Christensen,CHI,F,23,212,23,7,9.2,0.9,2.1,.417,0.0,0.0,,0.9,2.1,.417,0.3,0.8,.444,0.7,1.9,0.3,0.4,0.2,0.9,2.6,2.1
Shameka Christon,NYL,G,33,1065,33,32,32.3,3.6,9.9,.360,1.2,3.6,.328,2.4,6.3,.378,2.8,3.5,.795,1.0,4.5,2.1,1.0,0.6,2.5,3.0,11.2
Claire Coggins,CHI,G,20,196,20,1,9.8,1.0,3.9,.247,0.5,2.5,.200,0.5,1.4,.333,0.1,0.2,.250,0.2,0.8,0.4,0.3,0.1,1.0,1.4,2.5
Stacey Dales,CHI,F,31,845,31,30,27.3,3.5,10.1,.347,2.2,6.5,.338,1.3,3.6,.363,1.1,1.3,.846,0.5,1.8,2.7,0.6,0.0,1.8,1.7,10.3
Helen Darling,SAS,G,33,684,33,19,20.7,1.4,3.6,.383,0.5,1.2,.366,0.9,2.4,.392,0.8,1.1,.771,0.2,2.1,3.1,1.4,0.0,1.6,2.5,4.1
Jessica Davenport,NYL,C,33,382,33,13,11.6,1.8,4.2,.445,0.0,0.0,.000,1.8,4.1,.449,1.6,2.0,.818,0.7,2.7,0.3,0.2,0.9,1.3,2.0,5.3
Dee Davis,HOU,G,3,19,3,0,6.3,0.7,2.0,.333,0.7,1.0,.667,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.7,0.7,2.0
Anna DeForge,IND,G,34,795,34,34,23.4,3.3,7.9,.418,1.3,3.1,.410,2.0,4.8,.423,0.9,0.9,.906,0.8,3.3,1.5,0.8,0.1,1.4,1.1,8.7
Jennifer Derevjanik,PHO,G,23,200,23,0,8.7,0.6,1.3,.433,0.0,0.4,.100,0.5,0.9,.600,0.4,0.5,.818,0.2,1.0,1.0,0.3,0.0,0.7,0.8,1.6
Erika de Souza,CON,F-C,32,391,32,2,12.2,2.0,3.7,.534,0.0,0.0,,2.0,3.7,.534,0.3,0.7,.476,1.2,3.0,0.4,0.2,0.9,1.1,1.7,4.3
Tamecka Dixon,HOU,G,18,490,18,0,27.2,5.0,11.4,.439,0.3,0.9,.294,4.7,10.4,.452,1.7,2.0,.861,0.7,3.2,3.2,1.3,0.3,2.1,2.3,12.0
Shay Doron,NYL,G,7,35,7,2,5.0,0.6,1.6,.364,0.1,0.1,1.000,0.4,1.4,.300,0.1,0.3,.500,0.0,0.4,0.0,0.4,0.0,0.1,0.3,1.4
Scholanda Dorrell,SAC,G,34,525,34,0,15.4,2.0,5.0,.406,0.2,0.9,.250,1.8,4.1,.442,1.5,2.1,.714,0.7,1.4,0.9,1.1,0.3,1.4,1.6,5.8
Katie Douglas,CON,G-F,34,1133,34,34,33.3,6.1,14.2,.428,2.0,5.9,.338,4.1,8.3,.491,2.8,3.6,.779,1.4,4.6,3.7,1.9,0.3,2.8,2.0,17.0
Megan Duffy,MIN,G,5,48,5,0,9.6,0.2,1.8,.111,0.2,1.6,.125,0.0,0.2,.000,0.8,0.8,1.000,0.4,1.0,1.4,0.2,0.0,0.8,1.4,1.4
Candice Dupree,CHI,F,33,1078,33,33,32.7,6.4,14.3,.446,0.0,0.2,.000,6.4,14.1,.451,3.8,4.8,.775,2.4,7.7,1.4,0.9,1.2,2.5,2.5,16.5
Margo Dydek,CON,C,32,643,32,30,20.1,2.8,5.8,.487,0.1,0.2,.400,2.8,5.7,.489,0.9,1.2,.789,1.2,6.5,1.0,0.4,2.1,1.6,2.3,6.7
Shyra Ely-Gash,SEA,F,29,282,29,0,9.7,0.7,2.1,.323,0.2,0.5,.333,0.5,1.6,.319,0.7,1.1,.645,0.3,1.3,0.4,0.3,0.0,0.7,1.0,2.2
