Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Matee Ajavon,WAS,G,34,587,34,4,17.3,2.5,7.4,.336,0.8,2.4,.341,1.7,5.0,.333,2.2,3.2,.673,0.8,1.9,1.1,1.1,0.1,1.5,2.5,8.0
Nicky Anosike,MIN,F-C,30,896,30,29,29.9,4.3,8.8,.491,0.0,0.1,.250,4.3,8.7,.494,4.5,6.5,.696,2.4,7.4,2.7,2.7,0.9,2.0,2.9,13.2
La'Tangela Atkinson,SEA,G-F,2,46,2,1,23.0,1.0,4.0,.250,0.0,0.5,.000,1.0,3.5,.286,0.5,1.0,.500,3.0,9.0,2.5,5.0,0.5,2.0,2.5,2.5
Seimone Augustus*,MIN,G-F,6,178,6,6,29.7,8.2,14.3,.570,1.5,2.3,.643,6.7,12.0,.556,3.2,3.5,.905,0.7,4.2,1.5,2.0,0.5,2.2,0.8,21.0
Sherill Baker,DET,G,1,11,1,0,11.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,3.0,3.0,1.000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0
Mistie Bass,CHI,F,8,126,8,5,15.8,2.5,4.9,.513,0.0,0.3,.000,2.5,4.6,.541,1.1,2.0,.563,1.5,3.4,0.4,0.6,0.4,0.5,1.5,6.1
Suzy Batkovic-Brown,SEA,C,20,147,20,0,7.4,1.1,2.2,.488,0.2,0.6,.273,0.9,1.6,.563,0.1,0.4,.250,0.5,1.5,0.2,0.3,0.3,1.2,1.5,2.4
Ashley Battle,NYL,F,34,548,34,3,16.1,1.9,4.4,.426,0.6,1.4,.413,1.3,3.0,.431,0.9,1.4,.696,0.5,2.5,1.2,0.9,0.1,1.5,1.4,5.2
Alana Beard,WAS,G-F,31,985,31,30,31.8,6.1,14.1,.429,1.0,3.5,.299,5.0,10.7,.471,2.7,3.7,.737,0.6,4.0,2.2,2.3,0.6,3.2,3.1,15.9
Tully Bevilaqua,IND,G,34,861,34,32,25.3,2.0,5.3,.376,1.1,3.1,.346,0.9,2.2,.419,1.1,1.6,.667,0.4,2.3,2.9,1.8,0.2,1.4,2.2,6.1
Sue Bird*,SEA,G,31,1101,31,31,35.5,5.0,12.2,.408,1.7,4.8,.360,3.2,7.3,.441,1.1,1.3,.854,0.4,2.5,5.8,1.5,0.1,2.6,1.6,12.8
Chante Black,CON,C,33,428,33,8,13.0,1.1,2.8,.380,0.0,0.0,.000,1.1,2.8,.385,0.8,1.3,.628,1.2,3.2,0.2,0.4,0.8,0.8,1.6,2.9
Nikki Blue,WAS,G,16,91,16,0,5.7,0.4,1.5,.292,0.2,0.6,.333,0.3,0.9,.267,0.4,0.6,.700,0.1,0.6,0.8,0.4,0.0,0.8,0.8,1.5
Shannon Bobbitt,LAS,G,33,353,33,3,10.7,0.8,2.6,.306,0.2,1.1,.216,0.5,1.5,.375,0.3,0.4,.846,0.3,1.0,1.4,0.5,0.0,0.8,1.0,2.2
Whitney Boddie,SAC,G,4,9,4,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.5
DeWanna Bonner,PHO,G-F,34,724,34,0,21.3,3.7,8.2,.457,0.1,0.4,.154,3.7,7.8,.472,3.7,4.5,.812,2.1,5.8,0.4,0.7,0.7,1.0,2.1,11.2
Kara Braxton,DET,C-F,28,504,28,2,18.0,3.8,7.2,.527,0.0,0.0,,3.8,7.2,.527,1.4,2.2,.645,2.4,6.0,1.5,0.7,0.6,1.8,2.8,9.0
Kiesha Brown,CON,G,34,393,34,0,11.6,1.4,3.6,.382,0.5,1.6,.333,0.9,2.0,.420,0.5,0.6,.818,0.3,1.6,1.1,0.4,0.1,0.9,1.0,3.8
