Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,883,34,34,26.0,4.0,7.6,.527,0.0,0.0,,4.0,7.6,.527,2.2,2.8,.800,2.5,6.9,1.4,0.9,0.7,1.1,3.1,10.3
Kayla Alexander,IND,C,30,257,30,0,8.6,1.1,2.0,.541,0.0,0.0,,1.1,2.0,.541,0.5,0.6,.824,0.7,2.2,0.2,0.1,0.3,0.6,1.2,2.7
Lindsay Allen,LVA,G,24,358,24,6,14.9,1.2,3.0,.384,0.0,0.7,.063,1.1,2.4,.474,0.7,1.0,.708,0.1,1.3,2.9,0.6,0.0,0.9,0.7,3.1
Rebecca Allen,NYL,F-G,28,291,28,0,10.4,1.4,3.6,.376,0.4,1.4,.263,1.0,2.3,.444,0.8,0.9,.840,0.5,1.7,0.3,0.3,0.4,0.6,1.3,3.8
Ariel Atkins,WAS,G,29,652,29,24,22.5,4.1,9.6,.432,1.6,4.3,.357,2.6,5.2,.493,1.4,1.8,.824,1.0,2.4,2.1,1.3,0.3,1.3,2.5,11.3
Seimone Augustus*,MIN,G-F,33,864,33,33,26.2,4.7,10.1,.467,0.6,2.0,.318,4.1,8.1,.504,0.7,1.0,.706,0.2,1.8,2.6,0.4,0.2,1.2,1.0,10.8
Rachel Banham,CON,G,33,424,33,5,12.8,1.7,4.0,.414,0.9,2.5,.370,0.8,1.6,.481,1.0,1.2,.868,0.2,0.9,1.5,0.5,0.1,0.5,1.7,5.2
Alana Beard,LAS,G-F,30,766,30,30,25.5,1.7,4.3,.392,0.1,0.2,.400,1.6,4.2,.392,0.6,0.7,.810,1.2,3.3,1.7,1.5,0.2,0.7,2.4,4.0
Hind Ben Abdelkader,IND,G,14,142,14,0,10.1,0.6,3.1,.186,0.4,2.1,.207,0.1,1.0,.143,0.5,0.6,.875,0.1,1.0,0.8,0.3,0.1,0.9,0.7,2.1
Monique Billings,ATL,F,32,353,32,0,11.0,1.3,2.9,.441,0.0,0.0,,1.3,2.9,.441,0.8,1.0,.750,1.2,2.8,0.4,0.4,0.0,0.4,1.2,3.3
Sue Bird*,SEA,G,31,824,31,31,26.6,3.7,8.0,.466,1.9,4.3,.448,1.8,3.6,.487,0.8,0.9,.828,0.2,1.7,7.1,1.1,0.1,1.9,1.2,10.1
Kelsey Bone,LVA,C,32,344,32,10,10.8,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,0.3,0.6,.500,0.6,2.2,1.2,0.1,0.1,0.9,1.9,2.8
DeWanna Bonner,PHO,G-F,34,1120,34,34,32.9,6.1,13.5,.452,1.6,5.2,.313,4.5,8.4,.539,3.4,4.0,.867,1.4,7.2,3.2,1.3,0.4,1.6,1.8,17.3
Brittany Boyd,NYL,G,30,613,30,14,20.4,2.3,5.6,.414,0.3,0.9,.370,2.0,4.7,.423,1.4,1.8,.774,0.3,3.9,5.3,1.2,0.1,2.7,2.4,6.4
Imani McGee-Stafford,ATL,C,29,305,29,2,10.5,1.3,3.0,.453,0.0,0.0,,1.3,3.0,.453,0.2,0.5,.467,1.3,3.4,0.6,0.4,0.4,0.8,1.5,2.9
Jessica Breland,ATL,F,34,899,34,34,26.4,3.6,8.5,.428,0.0,0.0,,3.6,8.5,.428,1.0,1.3,.750,1.7,7.9,2.0,1.1,1.9,1.7,2.5,8.3
Lexie Brown,CON,G,22,124,22,0,5.6,0.5,2.0,.273,0.4,1.3,.310,0.1,0.7,.200,0.2,0.3,.571,0.0,0.8,0.5,0.3,0.0,0.5,0.5,1.7
Rebekkah Brunson,MIN,F,25,691,25,25,27.6,2.6,6.3,.405,0.7,1.9,.375,1.8,4.4,.418,1.3,2.0,.673,1.5,6.8,2.4,0.8,0.5,1.5,2.4,7.2
Liz Cambage,DAL,C,32,945,32,32,29.5,8.7,14.8,.589,0.4,1.2,.324,8.3,13.6,.611,5.3,7.2,.738,2.3,9.7,2.3,0.5,1.7,2.8,2.8,23.0
Jordin Canada,SEA,G,33,543,33,2,16.5,2.0,5.5,.357,0.3,1.7,.182,1.7,3.8,.433,1.5,2.0,.738,0.3,1.5,3.3,0.9,0.0,1.7,1.2,5.7
Essence Carson,LAS,G,34,786,34,15,23.1,3.0,6.8,.435,1.1,3.2,.361,1.8,3.6,.500,0.4,0.5,.938,0.3,2.6,0.9,0.9,0.4,0.6,1.5,7.5
Tina Charles,NYL,C,33,1088,33,33,33.0,8.0,16.8,.473,0.9,2.9,.326,7.0,14.0,.503,2.8,3.7,.770,1.9,7.0,2.7,0.7,0.6,2.8,2.5,19.7
Saniya Chong,DAL,G,5,43,5,0,8.6,0.2,1.2,.167,0.0,0.2,.000,0.2,1.0,.200,0.4,0.6,.667,0.2,0.8,1.0,0.6,0.0,0.2,0.6,0.8
Karima Christmas-Kelly,DAL,F-G,6,167,6,6,27.8,2.2,4.8,.448,0.7,1.5,.444,1.5,3.3,.450,4.3,5.3,.813,1.8,5.5,1.5,0.3,0.3,1.7,2.3,9.3
Alysha Clark,SEA,F,31,813,31,30,26.2,2.7,5.6,.480,0.9,2.4,.392,1.7,3.2,.545,1.1,1.3,.846,1.0,3.5,1.9,1.0,0.1,1.2,2.3,7.4
Natasha Cloud,WAS,G,27,715,27,22,26.5,3.3,7.6,.436,1.2,3.1,.386,2.1,4.5,.471,0.8,1.0,.778,0.2,3.2,4.6,0.7,0.1,1.7,2.0,8.6
Alaina Coates,CHI,C,32,364,32,0,11.4,1.3,2.3,.568,0.0,0.0,,1.3,2.3,.568,0.8,1.3,.625,1.2,3.2,0.4,0.2,0.2,0.5,1.8,3.4
Nia Coffey,LVA,F,28,386,28,10,13.8,1.9,4.9,.380,0.1,0.2,.400,1.8,4.7,.379,1.5,2.4,.618,0.8,2.4,0.6,0.3,0.2,1.4,1.7,5.3
Marissa Coleman,NYL,G-F,21,384,21,18,18.3,1.9,5.5,.348,0.6,2.0,.279,1.3,3.4,.389,0.3,0.3,1.000,0.6,2.4,1.0,0.5,0.2,0.6,1.0,4.7
Sydney Colson,MIN,G,2,17,2,0,8.5,1.5,3.5,.429,0.0,1.0,.000,1.5,2.5,.600,0.5,1.0,.500,0.5,1.0,2.0,0.0,0.5,2.0,1.0,3.5
Kahleah Copper,CHI,G-F,33,524,33,2,15.9,2.5,6.2,.397,0.7,1.9,.375,1.7,4.2,.407,1.5,1.7,.875,0.5,2.2,0.6,0.3,0.2,1.0,1.4,7.1
Monique Currie,WAS,F,32,508,32,9,15.9,2.1,5.4,.395,0.5,1.8,.293,1.6,3.6,.447,1.8,2.2,.831,0.6,3.0,0.8,0.4,0.2,1.2,2.3,6.6
Damiris Dantas,ATL,C-F,19,255,19,0,13.4,2.2,5.1,.433,0.3,1.1,.238,1.9,4.0,.487,0.7,0.9,.722,0.9,2.4,0.8,0.4,0.0,0.5,1.7,5.4
Kaela Davis,DAL,F,27,453,27,6,16.8,1.9,5.3,.347,0.4,1.5,.244,1.5,3.8,.388,0.9,1.4,.641,0.5,2.0,1.4,0.3,0.0,1.3,2.1,5.0
Elena Delle Donne,WAS,F-G,29,933,29,29,32.2,7.6,15.6,.488,1.7,4.2,.405,5.9,11.4,.518,3.8,4.3,.887,1.5,7.2,2.3,0.9,1.4,0.9,1.7,20.7
Diamond DeShields,CHI,G,34,967,34,33,28.4,4.9,11.5,.425,1.2,3.6,.328,3.7,7.9,.468,3.4,4.1,.836,1.1,4.9,2.2,1.1,0.3,2.1,2.2,14.4
Blake Dietrick,ATL,G,26,186,26,0,7.2,0.5,1.3,.343,0.3,0.9,.391,0.1,0.5,.250,0.2,0.2,.667,0.1,0.5,0.4,0.3,0.0,0.5,0.8,1.4
Skylar Diggins,DAL,G,32,1092,32,32,34.1,5.8,14.4,.403,1.6,5.4,.297,4.2,9.0,.467,4.7,5.6,.839,0.7,3.3,6.2,1.4,0.5,2.5,2.3,17.9
Stefanie Dolson,CHI,C,27,745,27,25,27.6,4.0,8.5,.467,0.7,1.9,.346,3.3,6.6,.503,1.1,1.2,.938,0.7,4.6,3.0,0.6,0.9,1.8,3.0,9.7
Candice Dupree,IND,F,32,1006,32,32,31.4,6.2,12.7,.488,0.0,0.0,.000,6.2,12.7,.489,1.8,2.3,.819,1.2,6.4,1.7,0.9,0.3,1.6,1.7,14.2
Adaora Elonu,ATL,F,1,1,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temi Fagbenle,MIN,C,30,283,30,2,9.4,1.3,2.6,.506,0.0,0.0,,1.3,2.6,.506,0.5,0.8,.696,0.9,2.0,0.6,0.3,0.3,0.7,1.2,3.1
Jamierra Faulkner,CHI,G,17,360,17,0,21.2,2.7,7.9,.343,1.1,3.7,.302,1.6,4.2,.380,1.1,1.4,.750,0.3,1.4,3.9,0.5,0.1,2.1,1.6,7.6
Sylvia Fowles*,MIN,C,34,1087,34,34,32.0,7.0,11.3,.619,0.0,0.0,,7.0,11.3,.619,3.8,5.0,.757,3.6,11.9,2.2,1.4,1.2,3.0,3.0,17.7
Cayla George,DAL,C-F,23,245,23,1,10.7,1.5,3.4,.436,0.5,1.7,.308,1.0,1.7,.564,0.1,0.3,.500,0.7,2.8,0.7,0.1,0.2,0.6,1.3,3.6
Allisha Gray,DAL,G,34,907,34,34,26.7,2.9,7.3,.403,0.9,3.3,.270,2.1,4.0,.511,2.4,2.8,.863,1.2,3.4,2.4,1.3,0.2,1.4,2.2,9.2
Chelsea Gray,LAS,G,34,1111,34,34,32.7,5.7,11.7,.484,1.1,2.9,.392,4.6,8.9,.513,2.4,2.9,.835,0.5,3.4,5.1,1.4,0.2,2.4,1.9,14.9
Brittney Griner,PHO,C,34,1108,34,34,32.6,7.8,14.4,.544,0.0,0.1,.250,7.8,14.3,.546,4.8,6.0,.800,1.9,7.7,2.1,0.5,2.6,2.4,3.2,20.5
Marie Gulich,PHO,C,23,115,23,0,5.0,0.6,1.3,.483,0.0,0.0,,0.6,1.3,.483,0.3,0.3,.750,0.4,1.0,0.1,0.0,0.3,0.6,0.8,1.5
Jazmon Gwathmey,IND,G,10,116,10,3,11.6,0.9,3.9,.231,0.1,1.1,.091,0.8,2.8,.286,0.5,1.0,.500,0.2,1.7,0.9,0.3,0.2,0.7,1.4,2.4
Dearica Hamby,LVA,F,33,474,33,0,14.4,2.8,5.3,.526,0.4,1.4,.289,2.4,3.9,.608,1.4,1.9,.742,1.1,3.6,1.2,0.7,0.3,1.1,2.0,7.4
Linnae Harper,CHI,G,24,146,24,0,6.1,0.8,2.0,.404,0.2,0.5,.308,0.6,1.4,.441,0.3,0.4,.600,0.2,0.8,1.0,0.2,0.0,0.4,0.6,2.0
Amber Harris,CHI,F,1,2,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bria Hartley,NYL,G,34,806,34,20,23.7,3.0,7.8,.389,1.1,3.4,.308,2.0,4.4,.453,1.4,1.9,.708,0.7,2.9,3.6,0.9,0.1,2.0,2.2,8.5
Tianna Hawkins,WAS,F,32,532,32,4,16.6,2.5,5.7,.443,0.8,2.2,.357,1.8,3.5,.496,0.4,0.5,.824,1.1,3.5,0.8,0.5,0.4,1.1,2.5,6.3
Tiffany Hayes,ATL,G,31,897,31,29,28.9,5.7,12.9,.441,1.4,4.2,.321,4.4,8.7,.500,4.5,5.5,.817,0.9,3.6,2.7,1.2,0.2,1.6,2.1,17.2
Myisha Hines-Allen,WAS,F,24,252,24,1,10.5,1.5,3.3,.450,0.0,0.1,.333,1.5,3.2,.455,0.7,1.1,.654,1.2,2.9,0.4,0.4,0.2,0.4,1.5,3.8
Sequoia Holmes,LVA,G,3,20,3,0,6.7,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,0.0,0.3,.000,0.3,0.7,0.7,0.3,0.7,0.7,0.3,1.3
Chelsea Hopkins,CHI,G,4,58,4,4,14.5,0.8,1.5,.500,0.0,0.0,,0.8,1.5,.500,0.3,0.3,1.000,0.0,3.3,2.0,0.5,0.0,1.8,0.5,1.8
Natasha Howard,SEA,F,34,869,34,33,25.6,5.1,9.4,.547,0.5,1.5,.327,4.6,7.9,.590,2.4,3.1,.798,2.4,6.4,1.0,1.3,2.0,1.9,3.7,13.2
Briann January,PHO,G,33,895,33,33,27.1,2.3,5.5,.423,1.4,3.0,.470,0.9,2.5,.366,0.9,1.1,.806,0.4,2.1,3.3,0.6,0.1,1.4,2.3,7.0
Moriah Jefferson,LVA,G,16,251,16,0,15.7,2.1,5.4,.379,0.2,0.9,.200,1.9,4.5,.417,1.1,1.3,.810,0.3,1.3,2.1,0.6,0.0,1.0,1.3,5.4
Glory Johnson,DAL,F,29,652,29,17,22.5,2.9,7.0,.417,0.6,1.9,.315,2.3,5.2,.453,1.6,2.0,.780,1.6,6.0,1.3,1.0,0.5,1.3,2.1,8.0
Alexis Jones,MIN,G,26,229,26,0,8.8,1.2,3.5,.352,0.6,1.9,.320,0.6,1.6,.390,0.2,0.3,.750,0.2,0.9,0.7,0.1,0.1,0.7,1.0,3.3
Brionna Jones,CON,F,27,242,27,0,9.0,1.1,2.4,.469,0.0,0.0,,1.1,2.4,.469,0.9,1.2,.727,0.9,2.0,0.2,0.2,0.2,0.6,1.4,3.1
Jonquel Jones,CON,C,34,697,34,16,20.5,4.4,8.0,.550,1.5,3.1,.467,2.9,4.8,.604,1.6,2.3,.671,2.1,5.5,1.7,0.4,1.2,1.6,2.9,11.8
Lynetta Kizer,MIN,F,14,78,14,0,5.6,0.6,2.4,.242,0.0,0.2,.000,0.6,2.1,.267,0.4,0.7,.600,0.4,1.5,0.6,0.1,0.0,0.4,1.1,1.6
Betnijah Laney-Hamilton,CON,G-F,29,271,29,0,9.3,1.1,2.4,.471,0.0,0.3,.111,1.1,2.1,.525,0.3,0.4,.909,0.7,1.7,0.7,0.4,0.0,0.6,0.7,2.7
Crystal Langhorne,SEA,F-C,26,362,26,1,13.9,2.0,4.0,.500,0.0,0.2,.000,2.0,3.8,.520,0.6,0.7,.889,0.7,3.0,0.3,0.3,0.2,0.9,0.8,4.6
Erlana Larkins,MIN,F,13,168,13,0,12.9,0.9,2.1,.444,0.0,0.0,,0.9,2.1,.444,0.2,0.2,1.000,1.0,2.7,1.3,0.7,0.2,0.7,1.6,2.1
Jantel Lavender,LAS,F,30,511,30,7,17.0,2.3,5.3,.428,0.1,0.5,.188,2.2,4.8,.455,0.6,0.7,.900,1.1,3.7,0.7,0.4,0.2,1.0,1.4,5.2
Breanna Lewis,DAL,C,6,26,6,0,4.3,0.5,1.7,.300,0.0,0.0,,0.5,1.7,.300,0.2,0.2,1.000,0.5,1.2,0.0,0.0,0.2,0.5,1.0,1.2
Camille Smith,PHO,F,33,536,33,7,16.2,1.0,3.0,.330,0.2,0.9,.258,0.8,2.1,.362,0.7,0.9,.774,0.5,1.8,1.2,0.5,0.3,0.9,2.2,3.0
Raigyne Louis,LVA,G,2,21,2,0,10.5,1.0,2.5,.400,0.0,0.5,.000,1.0,2.0,.500,1.0,1.5,.667,0.5,2.0,0.5,0.5,0.0,2.0,1.0,3.0
Jewell Loyd,SEA,G,34,1010,34,34,29.7,5.4,12.6,.423,2.0,5.3,.370,3.4,7.3,.462,2.9,3.4,.851,1.2,4.6,3.7,1.3,0.1,1.9,1.8,15.5
Sancho Lyttle,PHO,F,18,419,18,18,23.3,3.4,6.3,.540,0.0,0.1,.000,3.4,6.2,.545,1.2,1.3,.875,1.4,5.3,1.4,0.9,0.4,0.9,2.3,7.9
Stephanie Mavunga,IND,F,25,194,25,0,7.8,0.8,1.8,.477,0.0,0.0,.000,0.8,1.7,.488,0.5,0.6,.800,1.0,2.2,0.2,0.3,0.2,0.4,1.4,2.2
Kayla McBride,LVA,G,31,1000,31,31,32.3,6.4,14.2,.449,1.5,3.9,.393,4.8,10.2,.470,3.9,4.3,.917,0.8,3.9,3.5,1.1,0.1,2.0,1.1,18.2
Erica McCall,IND,F,34,418,34,2,12.3,1.2,3.2,.385,0.0,0.2,.125,1.2,3.0,.406,0.4,0.6,.684,1.4,2.7,0.4,0.4,0.5,0.4,1.6,2.9
Angel McCoughtry,ATL,F-G,29,799,29,28,27.6,5.9,14.0,.420,0.7,2.6,.276,5.1,11.3,.453,4.0,4.8,.836,1.6,6.0,3.0,1.3,0.6,2.6,2.6,16.5
Kelsey Mitchell,IND,G,34,829,34,17,24.4,4.2,12.1,.346,2.1,6.1,.335,2.1,5.9,.358,2.3,2.9,.804,0.3,1.8,2.7,0.7,0.1,1.9,2.4,12.7
Leilani Mitchell,PHO,G,31,461,31,0,14.9,1.5,4.2,.351,1.0,2.9,.341,0.5,1.3,.375,0.4,0.5,.857,0.3,1.4,2.3,0.5,0.2,1.2,1.3,4.4
Tiffany Mitchell,IND,G,34,871,34,20,25.6,3.2,8.6,.371,0.5,1.8,.267,2.7,6.8,.398,2.2,2.7,.835,0.7,3.1,2.3,0.9,0.2,1.4,1.7,9.1
Endy Miyem,MIN,F,20,101,20,1,5.1,0.6,1.9,.324,0.1,0.5,.200,0.5,1.4,.370,0.1,0.1,1.000,0.3,0.6,0.3,0.1,0.1,0.2,0.7,1.4
Alex Montgomery,CHI,G-F,19,122,19,0,6.4,0.3,1.0,.263,0.1,0.2,.333,0.2,0.8,.250,0.2,0.2,1.000,0.3,0.9,0.5,0.1,0.1,0.3,0.7,0.8
