Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,SEA,F,34,686,34,1,20.2,2.9,6.9,.415,1.1,3.0,.376,1.7,3.9,.444,0.7,1.3,.568,0.7,3.1,2.0,1.2,0.1,1.8,2.1,7.6
Jessica Adair,MIN,C,1,14,1,0,14.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,3.0,4.0,.750,4.0,8.0,0.0,0.0,0.0,0.0,4.0,5.0
Matee Ajavon,WAS,G,34,497,34,0,14.6,1.9,5.6,.346,0.3,1.4,.184,1.7,4.2,.401,1.7,2.2,.773,0.5,1.6,1.4,1.1,0.1,1.5,1.8,5.9
Nicky Anosike,MIN,F-C,31,928,31,30,29.9,2.7,7.2,.372,0.0,0.0,,2.7,7.2,.372,3.8,5.0,.773,2.6,6.8,1.9,2.0,1.0,2.1,3.0,9.2
Jayne Appel-Marinelli,SAS,C,28,306,28,0,10.9,1.4,2.5,.535,0.0,0.1,.333,1.3,2.4,.544,0.7,1.2,.559,0.8,2.5,0.5,0.3,0.2,0.7,1.4,3.4
Seimone Augustus*,MIN,G-F,25,832,25,25,33.3,7.0,16.4,.429,1.4,4.3,.336,5.6,12.1,.462,1.4,2.0,.667,0.4,3.2,1.9,0.7,0.3,1.4,1.3,16.9
Alison Bales,ATL,C,34,529,34,3,15.6,1.2,2.9,.433,0.1,0.4,.417,1.1,2.5,.435,1.3,1.6,.796,0.9,3.8,0.8,0.7,1.1,0.7,1.8,3.9
Mistie Bass,CHI,F,34,642,34,20,18.9,2.0,3.8,.527,0.0,0.1,.000,2.0,3.7,.535,0.9,1.4,.625,1.6,3.9,1.1,0.6,0.4,1.1,1.4,4.9
Ashley Battle,SAS,F,5,35,5,0,7.0,0.8,2.4,.333,0.0,1.0,.000,0.8,1.4,.571,0.0,0.0,,0.8,1.8,0.2,0.0,0.0,0.6,1.0,1.6
Tully Bevilaqua,IND,G,34,659,34,27,19.4,1.4,3.5,.383,0.8,2.3,.338,0.6,1.3,.465,0.4,0.7,.583,0.5,2.1,1.6,1.4,0.1,1.2,1.9,3.9
Sue Bird*,SEA,G,33,1005,33,33,30.5,4.1,9.4,.434,1.8,4.5,.399,2.3,4.9,.466,1.1,1.3,.857,0.2,2.7,5.8,1.5,0.2,1.8,1.4,11.1
Abby Bishop,SEA,F,16,109,16,0,6.8,1.0,2.8,.356,0.4,1.5,.250,0.6,1.3,.476,0.4,0.7,.545,0.7,1.3,0.3,0.1,0.1,0.8,1.6,2.8
Chante Black,TUL,C,34,712,34,23,20.9,2.4,4.4,.537,0.0,0.0,,2.4,4.4,.537,0.5,1.4,.347,2.5,6.5,0.6,0.5,1.6,1.3,2.1,5.2
Nikki Blue,NYL,G,15,77,15,0,5.1,0.4,1.4,.286,0.1,0.4,.167,0.3,1.0,.333,0.3,0.5,.714,0.1,0.4,0.9,0.3,0.0,0.6,0.8,1.2
DeWanna Bonner,PHO,G-F,32,813,32,4,25.4,4.1,8.9,.465,0.6,1.7,.358,3.5,7.2,.489,3.1,3.7,.840,2.1,6.1,1.3,0.7,1.2,1.3,1.8,12.0
Kiesha Brown,TUL,G,27,481,27,8,17.8,2.1,5.3,.389,0.7,1.7,.391,1.4,3.6,.388,0.9,1.0,.821,0.3,2.0,2.4,0.6,0.0,1.5,1.4,5.7
Rebekkah Brunson,MIN,F,30,915,30,30,30.5,3.9,9.1,.429,0.0,0.0,.000,3.9,9.1,.430,3.5,5.3,.663,4.0,10.3,0.8,1.2,1.0,1.6,3.0,11.3
Dominique Canty,CHI,G,34,884,34,34,26.0,3.1,7.2,.430,0.1,0.3,.182,3.0,6.9,.442,2.8,4.0,.693,1.0,2.6,3.4,1.0,0.2,2.2,2.6,9.0
Essence Carson,NYL,G,34,325,34,0,9.6,1.5,3.6,.407,0.1,0.7,.160,1.4,2.9,.469,0.6,0.9,.688,0.4,1.6,0.7,0.4,0.2,0.8,0.7,3.7
Swin Cash*,SEA,F,34,1046,34,34,30.8,4.7,10.9,.435,1.0,2.5,.407,3.7,8.4,.444,3.3,4.1,.807,1.9,6.0,2.0,0.6,0.5,2.9,3.1,13.8
Iziane Castro Marques,ATL,F-G,34,984,34,34,28.9,6.5,14.6,.444,1.4,4.6,.295,5.1,10.0,.512,2.6,4.0,.659,0.4,1.7,2.6,0.8,0.1,2.8,2.1,16.9
Tamika Catchings*,IND,F,34,1068,34,34,31.4,6.1,12.6,.484,1.4,3.1,.448,4.7,9.5,.495,4.6,5.4,.849,1.7,7.1,4.0,2.3,0.9,2.7,2.7,18.2
Tina Charles,CON,C,34,1054,34,34,31.0,6.1,12.4,.487,0.0,0.0,.000,6.1,12.4,.488,3.4,4.5,.763,3.8,11.7,1.5,0.7,1.7,2.1,2.1,15.5
Joy Cheek,IND,F,7,34,7,0,4.9,0.7,1.7,.417,0.1,0.4,.333,0.6,1.3,.444,0.6,0.6,1.000,0.0,0.4,0.1,0.0,0.0,0.7,1.0,2.1
