Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,122,17,0,7.2,0.9,2.3,.385,0.0,0.0,,0.9,2.3,.385,0.5,0.7,.667,0.2,0.7,0.5,0.1,0.1,0.2,0.9,2.2
Danielle Adams,SAS,F-C,34,899,34,24,26.4,5.0,11.7,.426,1.2,3.8,.326,3.8,7.9,.474,3.1,4.4,.707,1.6,4.7,1.2,0.9,0.7,1.8,2.8,14.4
Matee Ajavon,WAS,G,34,772,34,27,22.7,2.8,7.7,.364,0.6,1.8,.306,2.2,5.9,.382,2.8,3.5,.790,0.7,1.7,2.9,0.9,0.1,2.2,2.2,8.9
Kayla Alexander,SAS,C,33,371,33,1,11.2,1.1,2.5,.417,0.0,0.0,,1.1,2.5,.417,0.7,0.9,.733,1.3,3.0,0.3,0.1,0.4,1.1,1.4,2.8
Jayne Appel-Marinelli,SAS,C,29,768,29,29,26.5,2.4,4.2,.579,0.0,0.1,.333,2.4,4.1,.585,1.0,1.7,.592,2.6,8.9,2.0,0.9,1.3,1.5,2.9,5.9
Seimone Augustus*,MIN,G-F,31,922,31,31,29.7,6.9,13.3,.516,0.6,2.2,.290,6.2,11.1,.561,1.9,2.1,.879,0.8,3.2,2.5,0.6,0.6,1.5,1.1,16.3
Mistie Bass,CON,F,33,593,33,5,18.0,2.8,5.2,.550,0.0,0.0,,2.8,5.2,.550,1.3,2.1,.609,1.5,4.4,1.0,0.7,0.9,1.5,1.8,7.0
Alana Beard,LAS,G-F,32,703,32,32,22.0,2.7,5.8,.459,0.0,0.3,.125,2.6,5.5,.475,0.9,1.1,.824,0.4,2.3,1.4,1.3,0.3,1.3,2.3,6.2
Alex Bentley,ATL,G,34,753,34,10,22.1,3.3,8.4,.398,0.8,2.5,.329,2.5,5.9,.427,0.8,1.1,.711,0.3,1.4,2.8,1.0,0.1,1.1,2.3,8.3
Chante Black,SAS,C,1,10,1,0,10.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,0.0,0.0,,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0
Kelsey Bone,NYL,C,34,663,34,2,19.5,2.9,6.3,.460,0.0,0.0,.000,2.9,6.3,.463,1.1,1.7,.632,2.1,5.4,0.7,0.4,0.4,1.5,2.6,6.9
DeWanna Bonner,PHO,G-F,34,1119,34,33,32.9,4.7,11.5,.410,1.6,4.9,.325,3.1,6.6,.473,3.5,3.9,.901,1.0,5.8,2.4,1.1,0.3,1.6,1.3,14.5
Cierra Bravard,SEA,F,6,27,6,0,4.5,0.2,0.5,.333,0.2,0.3,.500,0.0,0.2,.000,0.0,0.0,,0.5,0.8,0.0,0.2,0.2,0.5,2.0,0.5
Kara Braxton,NYL,C-F,34,740,34,33,21.8,3.8,7.9,.481,0.0,0.0,,3.8,7.9,.481,1.1,1.6,.661,2.5,6.6,1.2,0.6,0.4,2.3,2.9,8.7
Jessica Breland,IND,F,30,439,30,2,14.6,2.3,5.2,.439,0.0,0.0,,2.3,5.2,.439,0.7,0.9,.741,1.7,4.0,0.6,0.6,1.0,1.1,1.3,5.3
Rebekkah Brunson,MIN,F,33,965,33,33,29.2,4.5,9.0,.497,0.0,0.0,1.000,4.4,8.9,.495,1.7,2.7,.636,2.7,8.9,1.5,1.3,0.9,1.2,2.1,10.6
Liz Cambage,TUL,C,20,499,20,16,25.0,5.3,9.5,.561,0.0,0.0,,5.3,9.5,.561,5.7,7.4,.776,2.5,8.3,1.1,0.5,2.4,3.1,2.9,16.3
Michelle Campbell,CHI,F,31,238,31,0,7.7,0.5,1.6,.314,0.0,0.0,,0.5,1.6,.314,0.7,1.0,.733,0.7,1.5,0.2,0.2,0.2,0.5,1.3,1.7
Essence Carson,NYL,G,4,118,4,4,29.5,5.5,10.0,.550,0.3,0.8,.333,5.3,9.3,.568,3.0,3.5,.857,1.0,5.5,1.8,0.5,0.5,2.5,1.5,14.3
Sydney Carter,CON,G,15,259,15,1,17.3,1.4,4.0,.350,0.3,1.3,.211,1.1,2.7,.415,1.1,1.3,.800,0.3,1.5,1.8,0.5,0.3,1.7,1.1,4.1
Swin Cash*,CHI,F,34,961,34,34,28.3,3.5,8.4,.415,0.5,1.9,.270,3.0,6.5,.457,1.9,2.2,.853,1.3,5.6,2.2,0.9,0.6,1.9,3.0,9.3
Iziane Castro Marques,CON,F-G,28,441,28,9,15.8,2.1,5.9,.352,0.5,1.6,.326,1.5,4.3,.361,1.3,1.8,.725,0.5,1.7,1.0,0.5,0.1,1.3,1.3,6.0
Tamika Catchings*,IND,F,30,942,30,30,31.4,6.0,15.1,.396,1.2,3.7,.321,4.8,11.3,.421,4.5,5.3,.861,1.5,7.1,2.4,2.8,1.0,1.7,2.5,17.7
Tina Charles,CON,C,29,951,29,29,32.8,7.5,18.8,.400,0.0,0.1,.000,7.5,18.7,.402,2.9,3.9,.752,3.4,10.1,1.4,0.9,1.0,2.2,2.0,18.0
Karima Christmas-Kelly,IND,F-G,34,913,34,28,26.9,3.0,8.0,.373,0.9,2.9,.300,2.1,5.0,.415,1.8,2.2,.811,1.9,4.1,1.1,1.9,0.3,1.2,2.4,8.6
Shameka Christon,SAS,G,33,740,33,14,22.4,2.5,8.1,.307,1.5,4.7,.321,1.0,3.4,.288,1.0,1.2,.868,0.3,1.7,0.7,0.5,0.3,0.7,1.7,7.5
Layshia Clarendon,IND,G,30,582,30,4,19.4,1.8,5.5,.331,0.2,0.9,.259,1.6,4.6,.345,0.3,0.7,.409,0.6,1.8,1.8,0.5,0.0,1.3,2.2,4.2
Alysha Clark,SEA,F,33,505,33,0,15.3,1.5,3.2,.453,0.5,1.2,.390,1.0,2.0,.492,0.6,0.8,.760,1.0,2.5,0.4,0.4,0.2,1.1,1.5,4.0
Courtney Clements,ATL,G,26,244,26,0,9.4,0.8,3.8,.202,0.3,1.5,.231,0.4,2.3,.183,0.3,0.5,.750,0.4,0.9,0.3,0.2,0.1,0.3,1.0,2.2
Marissa Coleman,LAS,G-F,34,595,34,3,17.5,1.7,4.0,.430,0.6,1.5,.400,1.1,2.5,.447,0.6,1.0,.636,0.9,2.9,1.0,0.7,0.1,0.9,1.3,4.6
Monique Currie,WAS,F,34,881,34,34,25.9,3.6,8.9,.401,0.6,1.9,.344,2.9,7.0,.416,2.7,3.3,.814,1.0,5.0,1.5,1.1,0.2,1.8,2.9,10.5
