Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,27,805,27,27,29.8,4.4,11.7,.377,0.7,2.2,.333,3.7,9.5,.387,2.1,4.3,.483,1.7,5.4,2.2,1.6,0.4,3.4,2.7,11.6
Elisa Aguilar,UTA,G,28,141,28,0,5.0,0.5,1.2,.424,0.4,0.8,.524,0.1,0.4,.250,0.1,0.3,.571,0.0,0.4,0.6,0.1,0.1,0.4,0.2,1.5
Monique Ambers,SAC,F,2,4,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Keisha Anderson,CHA,G,7,31,7,0,4.4,0.4,1.7,.250,0.1,0.6,.250,0.3,1.1,.250,0.0,0.0,,0.3,0.9,0.7,0.0,0.0,0.4,0.6,1.0
Mery Andrade,CLE,F,32,665,32,16,20.8,1.1,3.5,.306,0.2,0.8,.192,0.9,2.7,.341,0.6,0.7,.783,0.5,1.8,2.1,0.9,0.2,1.3,2.6,2.8
Janeth Arcain,HOU,G,32,1116,32,32,34.9,4.0,9.4,.424,0.3,1.2,.270,3.7,8.3,.445,3.1,3.5,.883,1.3,3.9,2.7,1.6,0.2,2.2,1.5,11.4
Jennifer Azzi,UTA,G,32,1151,32,32,36.0,2.8,6.2,.460,1.3,2.9,.446,1.6,3.3,.472,2.6,3.3,.798,0.5,2.2,4.9,0.8,0.4,2.1,3.2,9.6
Tricia Bader Binford,CLE,G,18,132,18,0,7.3,0.2,1.4,.154,0.1,0.8,.071,0.2,0.7,.250,0.3,0.3,.833,0.1,0.4,0.8,0.3,0.1,0.4,0.2,0.8
LaQuanda Barksdale,POR,G,17,285,17,3,16.8,2.1,5.9,.356,0.3,1.3,.227,1.8,4.6,.392,1.4,1.5,.885,1.1,2.4,0.7,0.5,0.4,1.4,1.8,5.9
Adia Barnes,SEA,F,26,493,26,17,19.0,1.4,4.3,.333,0.0,0.2,.250,1.4,4.1,.336,0.6,1.1,.517,1.7,3.9,1.1,1.2,0.3,1.0,2.5,3.5
Quacy Barnes,PHO,C,2,13,2,0,6.5,0.0,3.5,.000,0.0,0.0,,0.0,3.5,.000,1.5,2.0,.750,0.0,0.5,0.0,0.5,1.0,0.0,0.5,1.5
Cass Bauer-Bilodeau,SAC,C,25,233,25,2,9.3,0.7,2.3,.298,0.0,0.0,,0.7,2.3,.298,0.4,0.6,.600,0.6,1.6,0.0,0.1,0.2,1.0,1.4,1.7
Lucienne Berthieu,CLE,F-C,5,16,5,0,3.2,0.6,1.4,.429,0.0,0.2,.000,0.6,1.2,.500,0.4,0.8,.500,0.6,0.8,0.0,0.0,0.0,0.0,1.0,1.6
Tully Bevilaqua,POR,G,27,421,27,19,15.6,0.9,2.3,.410,0.6,1.3,.417,0.4,0.9,.400,0.7,1.1,.655,0.3,1.2,1.6,0.8,0.1,1.0,1.8,3.1
Sue Bird*,SEA,G,32,1121,32,32,35.0,4.7,11.7,.403,1.8,4.4,.401,2.9,7.3,.403,3.2,3.5,.911,0.5,2.6,6.0,1.7,0.1,3.4,1.5,14.4
Debbie Black,MIA,G,32,899,32,32,28.1,2.0,5.0,.400,0.0,0.1,.000,2.0,4.9,.408,0.8,1.0,.758,1.3,3.8,4.3,1.8,0.2,1.0,2.3,4.8
Ruthie Bolton,SAC,G,32,737,32,1,23.0,3.9,9.9,.396,1.3,4.1,.326,2.6,5.8,.446,1.8,2.4,.727,1.0,2.9,1.2,1.4,0.1,1.1,2.3,10.9
Susanna Bonfiglio,PHO,G,22,306,22,6,13.9,2.0,4.0,.483,0.0,0.3,.000,2.0,3.8,.518,0.9,1.1,.760,0.7,1.7,1.0,0.5,0.0,0.8,1.6,4.8
Sandy Brondello,MIA,G,30,763,30,23,25.4,3.2,8.9,.365,0.5,1.5,.318,2.8,7.4,.374,1.8,2.2,.821,0.2,1.4,1.5,0.9,0.1,1.3,1.3,8.8
Edwina Brown,DET,G-F,28,549,28,7,19.6,1.5,4.7,.328,0.2,0.4,.500,1.3,4.3,.311,0.8,1.1,.719,1.0,2.9,2.1,0.9,0.3,2.1,2.6,4.1
Kiesha Brown,WAS,G,18,108,18,0,6.0,0.7,1.9,.343,0.1,0.6,.091,0.6,1.3,.458,0.2,0.2,1.000,0.2,0.7,0.3,0.3,0.0,0.3,0.6,1.6
Rushia Brown,CLE,F,28,468,28,2,16.7,1.5,3.8,.400,0.0,0.0,.000,1.5,3.7,.404,1.0,1.4,.737,1.0,2.7,1.0,0.8,0.3,1.4,1.9,4.0
Vicky Bullett,WAS,F,32,953,32,32,29.8,3.4,7.4,.462,0.6,1.5,.396,2.8,5.9,.479,1.1,1.3,.829,1.4,5.8,1.7,1.7,1.2,1.8,2.6,8.5
Annie La Fleur,WAS,G,26,632,26,26,24.3,1.5,3.9,.386,0.5,1.3,.364,1.0,2.6,.397,1.3,1.7,.778,0.6,2.4,3.6,1.3,0.2,1.6,1.5,4.8
Alisa Burras,POR,C,32,633,32,24,19.8,3.7,5.8,.629,0.0,0.0,,3.7,5.8,.629,1.4,1.6,.846,1.6,4.6,0.2,0.3,0.2,1.5,1.8,8.7
Janell Burse,MIN,C,31,344,31,2,11.1,1.0,2.7,.373,0.0,0.0,.000,1.0,2.6,.378,0.7,1.2,.583,0.9,1.9,0.2,0.2,0.4,0.6,1.9,2.7
Latasha Byears,LAS,G-F,26,486,26,5,18.7,2.9,4.7,.618,0.0,0.0,,2.9,4.7,.618,1.2,2.0,.566,2.5,5.4,0.5,0.7,0.2,0.8,3.4,7.0
Edna Campbell,SAC,G,1,12,1,0,12.0,2.0,5.0,.400,0.0,2.0,.000,2.0,3.0,.667,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
Dominique Canty,DET,G,28,625,28,12,22.3,1.9,5.5,.338,0.0,0.2,.200,1.8,5.3,.342,2.0,2.7,.724,0.9,2.5,3.0,0.8,0.1,2.0,2.1,5.7
Swin Cash*,DET,F,32,1079,32,32,33.7,4.5,11.0,.408,0.4,2.0,.206,4.1,9.1,.452,5.4,7.1,.762,2.4,6.9,2.7,1.2,1.0,3.1,2.7,14.8
Iziane Castro Marques,MIA,F-G,19,182,19,1,9.6,1.3,3.8,.333,0.1,0.9,.059,1.2,2.9,.418,0.9,1.3,.680,0.4,0.9,0.4,0.4,0.0,0.9,1.2,3.5
