Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Monique Akoa Makani,PHO,G,41,881,41,40,21.5,2.8,6.5,.430,1.2,3.0,.398,1.6,3.5,.458,0.9,1.0,.927,0.6,2.2,2.7,0.8,0.1,1.3,2.5,7.7
Julie Allemand,LAS,G,34,963,34,27,28.3,2.1,4.7,.440,0.8,3.0,.277,1.2,1.7,.724,0.4,0.6,.789,0.4,3.7,5.0,1.3,0.0,1.6,1.6,5.4
Lindsay Allen,CON,G,31,450,31,9,14.5,0.8,2.1,.400,0.1,0.6,.167,0.7,1.5,.489,0.6,0.7,.826,0.3,1.0,2.0,0.3,0.2,1.0,1.2,2.4
Rebecca Allen,CHI,F-G,44,821,44,17,18.7,1.9,5.5,.342,1.0,3.0,.318,0.9,2.5,.370,0.4,0.7,.613,0.4,2.6,1.3,0.5,0.5,0.9,1.4,5.1
Laeticia Amihere,GSV,F,29,385,29,0,13.3,1.8,3.9,.456,0.1,0.7,.143,1.7,3.2,.527,1.7,2.2,.778,1.2,4.3,0.9,0.6,0.4,1.1,1.2,5.4
Yvonne Anderson,MIN,G,1,12,1,0,12.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,0.0,0.0,,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0
Ariel Atkins,CHI,G,34,970,34,34,28.5,4.8,10.7,.444,1.3,3.5,.361,3.5,7.2,.484,2.4,2.7,.860,0.7,3.4,3.6,1.6,0.7,2.5,3.0,13.1
Shakira Austin,WAS,F-C,38,874,38,30,23.0,5.0,10.8,.465,0.1,0.4,.133,5.0,10.4,.477,2.6,3.8,.664,1.5,6.4,1.8,1.1,1.1,2.4,2.1,12.7
Marième Badiane,MIN,C,3,11,3,0,3.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,0.0,0.0,,0.3,0.3,0.0,0.7,0.0,0.7,2.0,0.0
Rachel Banham,CHI,G,44,1081,44,33,24.6,2.9,7.7,.382,2.0,5.5,.357,1.0,2.2,.443,1.2,1.3,.881,0.1,1.7,2.7,0.6,0.3,1.6,1.9,9.0
Sarah Ashlee Barker,LAS,G,34,481,34,8,14.1,1.0,3.1,.337,0.5,1.8,.295,0.5,1.3,.395,0.5,0.7,.708,0.3,1.9,0.9,0.3,0.1,1.1,1.3,3.1
Kierstan Bell,LVA,F,35,427,35,16,12.2,1.5,4.4,.338,0.9,2.9,.291,0.6,1.5,.431,0.3,0.4,.800,0.6,1.8,0.7,0.4,0.3,0.5,0.9,4.2
Monique Billings,GSV,F,26,474,26,8,18.2,2.8,5.8,.477,0.4,1.4,.278,2.4,4.4,.539,1.4,2.0,.679,1.4,4.5,0.5,0.6,0.8,0.8,1.7,7.3
Aliyah Boston,IND,C-F,44,1327,44,44,30.2,6.2,11.5,.538,0.1,0.7,.207,6.0,10.8,.558,2.5,3.3,.762,2.4,8.2,3.7,1.2,0.9,1.8,3.1,15.0
Crystal Bradford,LVA,F,4,24,4,0,6.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,0.0,0.0,,0.5,1.3,0.3,0.5,0.0,0.3,0.8,1.0
Cameron Brink,LAS,F,19,244,19,0,12.8,1.8,4.3,.427,0.5,1.8,.294,1.3,2.5,.521,0.8,1.1,.762,1.4,4.3,0.5,0.5,1.4,1.3,2.5,5.1
Jaelyn Brown,CON,G-F,10,131,10,0,13.1,1.4,3.7,.378,0.8,1.8,.444,0.6,1.9,.316,0.1,0.2,.500,0.4,1.2,0.1,0.5,0.2,0.5,1.7,3.7
Kalani Brown,PHO,C,29,370,29,1,12.8,2.0,3.3,.615,0.1,0.3,.375,1.9,3.0,.636,0.9,1.2,.771,1.2,4.0,0.6,0.2,0.6,0.8,1.6,5.1
Lexie Brown,SEA,G,24,227,24,0,9.5,0.7,2.0,.354,0.4,1.5,.270,0.3,0.5,.636,0.3,0.4,.700,0.1,0.7,1.0,0.4,0.0,0.3,0.8,2.1
Paige Bueckers,DAL,G,36,1199,36,36,33.3,7.2,15.1,.477,1.1,3.3,.331,6.1,11.8,.518,3.8,4.2,.888,0.7,3.9,5.4,1.6,0.5,2.0,2.3,19.2
Kennedy Burke,NYL,G-F,36,779,36,9,21.6,2.8,6.1,.468,1.3,3.1,.414,1.6,3.0,.523,1.1,1.5,.759,0.6,2.4,1.3,0.8,0.4,0.9,1.3,8.1
Rae Burrell,LAS,G-F,28,515,28,1,18.4,2.8,6.4,.433,0.8,2.4,.328,2.0,4.0,.495,1.3,1.7,.745,0.6,2.3,1.2,0.6,0.2,0.9,1.3,7.5
Veronica Burton,GSV,G,44,1292,44,44,29.4,3.4,8.8,.387,1.4,4.0,.345,2.0,4.7,.423,3.8,4.3,.878,1.1,4.4,6.0,1.1,0.6,2.1,2.3,11.9
Maya Caldwell,ATL,G,41,760,41,16,18.5,2.0,4.8,.426,1.0,2.7,.355,1.1,2.1,.518,0.4,0.5,.800,0.8,3.1,1.8,0.9,0.2,1.0,1.6,5.4
Jordin Canada,ATL,G,28,783,28,26,28.0,3.9,9.8,.396,0.9,3.1,.291,3.0,6.7,.444,2.6,3.4,.760,0.3,3.3,5.7,1.7,0.3,2.2,1.6,11.2
Emma Cannon,LAS,F,21,213,21,0,10.1,1.5,3.0,.508,0.7,1.7,.389,0.9,1.3,.667,0.7,1.1,.652,0.5,1.8,0.4,0.5,0.0,0.8,1.7,4.4
Kamilla Cardoso,CHI,C,40,1102,40,39,27.6,5.6,10.6,.528,0.0,0.1,.500,5.6,10.5,.529,2.4,3.3,.722,3.0,8.5,2.5,0.4,1.2,2.4,2.8,13.6
Bridget Carleton,MIN,F,44,1227,44,44,27.9,2.3,5.8,.402,1.4,3.8,.373,0.9,1.9,.459,0.4,0.6,.720,0.9,3.6,2.0,0.8,0.3,0.8,1.9,6.5
Tina Charles,CON,C,43,1222,43,42,28.4,6.0,13.8,.438,0.3,1.1,.261,5.8,12.7,.453,3.9,4.6,.857,1.4,5.8,1.7,0.8,0.4,1.9,2.1,16.3
Kaitlyn Chen,GSV,G,24,247,24,0,10.3,0.8,2.1,.380,0.2,0.6,.333,0.6,1.5,.400,0.2,0.3,.714,0.2,0.9,1.0,0.2,0.0,0.8,0.7,2.0
Sonia Citron,WAS,G,44,1415,44,44,32.2,5.1,10.8,.470,1.8,4.1,.445,3.2,6.6,.486,3.0,3.4,.872,0.7,4.0,2.4,1.3,0.4,2.1,2.1,14.9
Caitlin Clark,IND,G,13,404,13,13,31.1,5.5,15.1,.367,2.2,8.0,.279,3.3,7.1,.467,3.2,3.8,.820,0.1,5.0,8.8,1.6,0.5,5.1,2.7,16.5
Natasha Cloud,NYL,G,41,1191,41,41,29.0,3.7,8.5,.433,1.3,3.8,.338,2.4,4.8,.508,1.5,1.7,.870,0.3,3.7,5.1,1.2,0.3,1.9,2.9,10.1
Nia Coffey,ATL,F,44,455,44,2,10.3,1.3,3.3,.374,0.5,1.9,.293,0.7,1.5,.477,0.8,1.1,.720,0.6,2.6,1.0,0.2,0.4,0.7,1.1,3.9
Napheesa Collier,MIN,F,33,1065,33,33,32.3,8.3,15.7,.531,1.5,3.8,.403,6.8,11.9,.571,4.7,5.2,.906,1.9,7.3,3.2,1.6,1.5,2.1,2.4,22.9
Sydney Colson,IND,G,30,404,30,6,13.5,0.9,2.5,.342,0.4,1.6,.277,0.4,1.0,.448,0.2,0.2,.857,0.2,0.8,2.0,0.5,0.2,1.2,1.1,2.4
Zia Cooke,SEA,G,26,261,26,0,10.0,1.2,3.2,.357,0.6,1.5,.395,0.6,1.8,.326,0.6,0.9,.652,0.2,0.5,0.5,0.4,0.0,0.8,1.0,3.5
Kahleah Copper,PHO,G-F,28,752,28,28,26.9,5.5,12.9,.424,2.0,5.4,.377,3.4,7.5,.457,2.7,3.1,.852,0.4,2.9,1.5,1.1,0.2,2.2,2.6,15.6
Sophie Cunningham,IND,G,30,756,30,13,25.2,2.7,5.8,.469,1.7,3.9,.432,1.0,1.9,.544,1.4,1.6,.875,0.5,3.5,1.2,1.0,0.1,1.1,2.2,8.6
Damiris Dantas,IND,C-F,38,439,38,0,11.6,1.7,4.8,.348,0.7,2.5,.263,1.0,2.3,.442,0.6,0.7,.857,0.7,2.4,0.7,0.2,0.1,0.8,1.5,4.6
