Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,30,792,30,25,26.4,3.7,9.5,.393,0.8,2.7,.305,2.9,6.8,.429,2.3,3.3,.704,1.5,4.7,2.7,1.5,0.4,3.0,2.6,10.6
Jordan Adams,MIN,C,10,96,10,0,9.6,1.3,3.3,.394,0.5,1.2,.417,0.8,2.1,.381,0.2,0.2,1.000,1.0,2.3,0.4,0.2,0.3,1.0,1.0,3.3
Mactabene Amachree,SEA,F,7,47,7,0,6.7,0.4,1.4,.300,0.0,0.0,,0.4,1.4,.300,0.3,0.6,.500,0.6,2.0,0.0,0.7,0.3,1.3,0.4,1.1
Chantelle Anderson,SAC,C,26,171,26,0,6.6,0.7,1.7,.432,0.0,0.0,,0.7,1.7,.432,0.2,0.5,.333,0.3,0.9,0.2,0.2,0.2,0.7,1.3,1.6
Janeth Arcain,HOU,G,34,1136,34,34,33.4,4.4,9.5,.466,0.3,1.1,.243,4.2,8.4,.495,2.3,2.8,.840,0.7,4.0,2.0,1.2,0.0,1.5,1.9,11.5
Leigh Aziz,IND,F,7,44,7,0,6.3,0.6,2.0,.286,0.0,0.0,,0.6,2.0,.286,0.3,0.6,.500,0.3,1.3,0.1,0.0,0.6,0.4,0.7,1.4
Jennifer Azzi,SAS,G,34,1136,34,34,33.4,2.5,6.2,.403,1.1,2.9,.402,1.4,3.4,.404,1.5,1.9,.785,0.3,2.7,3.3,0.8,0.3,1.8,2.9,7.6
Elena Baranova,NYL,F,33,850,33,7,25.8,3.2,7.8,.416,1.0,2.8,.363,2.2,5.0,.446,0.9,1.1,.886,1.4,5.5,1.9,1.1,1.3,1.9,2.1,8.4
LaQuanda Barksdale,SAS,G,26,168,26,0,6.5,0.8,3.0,.266,0.6,2.0,.288,0.2,1.0,.222,0.1,0.1,1.000,0.3,1.3,0.2,0.0,0.1,0.4,0.8,2.3
Adia Barnes,SEA,F,16,396,16,16,24.8,2.0,5.3,.381,0.8,1.9,.387,1.3,3.3,.377,0.8,1.3,.571,1.6,4.1,1.4,0.7,0.4,1.1,2.3,5.5
Lucienne Berthieu,CLE,F-C,22,201,22,4,9.1,1.2,2.4,.519,0.0,0.0,.000,1.2,2.3,.529,1.4,2.1,.652,0.9,1.9,0.3,0.5,0.2,1.0,1.7,3.8
Tully Bevilaqua,SEA,G,31,252,31,0,8.1,0.5,1.6,.333,0.3,0.7,.381,0.3,1.0,.300,0.5,0.7,.762,0.3,0.8,1.0,0.5,0.0,0.6,1.0,1.9
Sue Bird*,SEA,G,34,1136,34,34,33.4,4.6,10.8,.421,1.4,4.1,.350,3.1,6.7,.465,1.8,2.0,.884,0.6,3.3,6.5,1.4,0.0,3.2,1.4,12.4
Debbie Black,CON,G,34,373,34,0,11.0,0.7,2.0,.353,0.0,0.1,.333,0.7,1.9,.354,0.2,0.3,.667,0.5,1.5,1.4,0.6,0.1,0.5,1.0,1.6
Octavia Blue,HOU,F,16,37,16,0,2.3,0.1,0.3,.250,0.0,0.0,,0.1,0.3,.250,0.1,0.3,.500,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.3
Ruthie Bolton,SAC,G,33,521,33,0,15.8,1.7,5.3,.314,0.6,3.0,.194,1.1,2.3,.468,0.6,0.8,.769,0.5,1.7,1.1,1.0,0.1,0.6,1.6,4.5
Sandy Brondello,SEA,G,34,975,34,34,28.7,3.4,8.3,.415,0.6,1.4,.438,2.8,6.9,.410,0.7,0.9,.806,0.6,1.6,2.0,0.9,0.1,1.1,1.7,8.2
Coretta Brown,IND,G,30,522,30,2,17.4,2.0,5.5,.372,1.2,3.3,.360,0.8,2.1,.391,0.9,1.1,.848,0.4,1.4,1.0,0.7,0.1,1.2,1.0,6.2
Edwina Brown,PHO,G-F,34,524,34,6,15.4,1.2,4.5,.270,0.0,0.1,.000,1.2,4.4,.275,1.1,1.3,.818,0.9,2.1,1.8,0.9,0.2,1.4,1.3,3.5
Kiesha Brown,WAS,G,27,269,27,0,10.0,0.9,2.7,.333,0.4,1.2,.303,0.5,1.4,.359,0.1,0.1,.667,0.2,1.2,1.0,0.5,0.0,0.8,0.9,2.2
Rushia Brown,CHA,F,34,483,34,5,14.2,1.6,3.4,.457,0.0,0.1,.000,1.6,3.4,.465,0.6,0.7,.826,1.0,2.4,0.5,0.9,0.3,1.0,2.6,3.7
Marla Brumfield,CHA,G,25,123,25,0,4.9,0.2,0.6,.375,0.0,0.1,.000,0.2,0.5,.462,0.2,0.2,1.000,0.0,0.4,0.6,0.0,0.0,0.2,0.5,0.7
Annie La Fleur,WAS,G,34,841,34,33,24.7,1.5,3.9,.373,0.5,1.7,.276,1.0,2.2,.447,0.4,0.7,.600,0.7,2.3,3.3,0.8,0.0,1.5,1.4,3.9
Alisa Burras,SEA,C,27,270,27,2,10.0,1.3,2.8,.467,0.0,0.0,,1.3,2.8,.467,0.7,1.0,.704,1.0,2.3,0.2,0.2,0.2,0.9,2.1,3.3
Janell Burse,MIN,C,29,438,29,14,15.1,2.6,5.3,.490,0.0,0.1,.000,2.6,5.3,.497,1.9,2.4,.771,1.4,3.7,0.7,0.4,1.0,1.4,2.8,7.1
Latasha Byears,LAS,G-F,5,72,5,0,14.4,2.0,5.0,.400,0.0,0.2,.000,2.0,4.8,.417,1.6,2.2,.727,2.4,4.2,0.4,0.0,0.4,0.4,2.4,5.6
Edna Campbell,SAC,G,34,724,34,34,21.3,2.9,7.2,.402,1.4,3.3,.414,1.5,3.9,.391,0.7,1.0,.758,0.5,2.1,1.3,0.6,0.1,1.3,1.2,7.9
Dominique Canty,HOU,G,32,648,32,4,20.3,1.7,4.5,.379,0.0,0.0,.000,1.7,4.5,.382,1.9,2.9,.667,1.1,3.1,1.8,0.7,0.0,1.5,1.9,5.4
Swin Cash*,DET,F,33,1097,33,33,33.2,5.9,13.0,.453,0.4,1.2,.300,5.5,11.8,.469,4.4,6.5,.682,2.0,5.8,3.6,1.3,0.7,3.3,2.3,16.6
Iziane Castro Marques,PHO,F-G,16,178,16,0,11.1,1.6,4.4,.352,0.5,1.7,.296,1.1,2.8,.386,0.7,1.1,.611,0.4,0.8,0.6,0.4,0.1,0.6,0.7,4.3
Tamika Catchings*,IND,F,34,1210,34,34,35.6,6.5,15.1,.432,2.2,5.6,.387,4.3,9.4,.458,4.6,5.4,.847,2.4,8.0,3.4,2.1,1.0,3.0,3.6,19.7
Kayte Christensen,PHO,F,30,659,30,16,22.0,2.6,5.4,.484,0.0,0.0,,2.6,5.4,.484,1.7,2.8,.602,2.0,4.2,0.5,0.8,0.5,1.3,3.5,6.9
Courtney Coleman,CON,F,20,141,20,0,7.1,0.6,1.0,.550,0.0,0.0,,0.6,1.0,.550,0.7,1.5,.467,0.4,1.1,0.1,0.4,0.1,0.7,0.9,1.8
Cynthia Cooper*,HOU,G,4,144,4,4,36.0,4.0,9.5,.421,1.8,4.5,.389,2.3,5.0,.450,6.3,7.0,.893,0.5,2.5,5.5,1.0,0.3,3.5,2.3,16.0
Sylvia Crawley,SAS,F,33,564,33,8,17.1,1.5,3.9,.385,0.0,0.0,,1.5,3.9,.385,0.5,0.7,.682,1.2,3.2,0.6,0.5,0.6,1.2,2.3,3.5
Edniesha Curry,PHO,G,20,205,20,0,10.3,0.7,1.8,.371,0.3,1.1,.227,0.4,0.7,.615,0.1,0.2,.667,0.1,0.6,1.2,0.5,0.0,0.8,1.3,1.7
Stacey Dales,WAS,F,34,998,34,31,29.4,3.6,8.8,.409,1.7,4.7,.356,1.9,4.1,.471,1.1,1.6,.709,1.3,3.0,3.4,0.9,0.4,2.1,2.9,10.0
Grace Daley,PHO,G,3,28,3,0,9.3,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,0.0,0.0,,0.3,0.7,1.0,0.0,0.3,1.0,0.7,0.7
Helen Darling,CLE,G,34,832,34,34,24.5,1.3,4.2,.308,0.7,2.1,.324,0.6,2.1,.292,0.9,1.2,.732,0.7,2.6,3.8,1.1,0.2,2.2,2.6,4.1
Anna DeForge,PHO,G,34,1065,34,27,31.3,4.3,10.5,.412,1.8,4.4,.412,2.5,6.1,.411,1.5,2.0,.725,0.9,3.1,2.1,1.5,0.4,1.6,1.8,11.9
Tai Dillard,SAS,G,24,168,24,0,7.0,0.7,2.7,.246,0.2,1.0,.174,0.5,1.8,.286,0.2,0.3,.833,0.0,0.6,0.6,0.3,0.2,0.6,0.9,1.7
Tamecka Dixon,LAS,G,30,1042,30,30,34.7,5.3,12.1,.437,0.4,1.7,.212,4.9,10.4,.474,2.8,3.1,.883,1.4,4.2,3.0,1.2,0.3,2.3,2.8,13.7
Bethany Donaphin,NYL,F-C,1,2,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katie Douglas,CON,G-F,28,843,28,27,30.1,4.3,9.8,.438,1.7,4.4,.382,2.6,5.4,.483,1.8,2.4,.721,1.2,3.8,2.0,1.1,0.4,1.0,1.4,12.0
Margo Dydek,SAS,C,34,926,34,34,27.2,4.6,10.2,.451,0.0,0.0,.000,4.6,10.1,.452,2.8,3.8,.723,1.3,7.4,1.7,0.6,2.9,2.4,3.3,11.9
Simone Edwards,SEA,C,34,577,34,6,17.0,1.8,3.9,.455,0.0,0.0,,1.8,3.9,.455,1.0,1.6,.625,1.6,3.9,0.5,0.3,0.3,0.9,1.6,4.6
