Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,22,332,22,0,15.1,2.1,4.1,.516,0.0,0.1,.000,2.1,4.0,.528,1.0,1.2,.815,1.1,4.1,1.7,0.4,0.3,1.0,1.6,5.3
Julie Allemand,CHI,G,25,402,25,4,16.1,1.0,2.4,.417,0.4,1.2,.290,0.6,1.2,.552,0.6,0.7,.833,0.4,1.6,3.4,0.6,0.1,1.3,0.9,3.0
Lindsay Allen,MIN,G,9,134,9,0,14.9,2.2,4.2,.526,0.9,1.6,.571,1.3,2.7,.500,1.3,1.4,.923,0.0,1.6,3.4,0.2,0.0,0.8,1.2,6.7
Rebecca Allen,NYL,F-G,25,523,25,19,20.9,2.6,6.8,.379,1.0,3.3,.313,1.5,3.4,.442,0.8,1.0,.833,0.3,3.4,1.2,0.8,1.0,1.0,1.9,7.0
Yvonne Anderson,CON,G,11,101,11,0,9.2,1.1,2.4,.462,0.4,0.9,.400,0.7,1.5,.500,0.6,0.6,1.000,0.3,0.8,1.1,0.3,0.2,1.0,1.3,3.2
Kristine Anigwe,PHO,F-C,10,65,10,1,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,0.5,1.0,.500,0.5,1.3,0.2,0.1,0.2,0.6,1.2,1.5
Ariel Atkins,WAS,G,36,1081,36,36,30.0,5.1,12.2,.420,1.9,5.3,.365,3.2,6.9,.464,2.4,2.9,.845,0.9,3.3,2.3,1.3,0.3,1.4,2.8,14.6
Amy Atwell,LAS,F,4,32,4,1,8.0,0.3,2.3,.111,0.3,1.5,.167,0.0,0.8,.000,0.0,0.0,,0.3,0.5,0.5,0.0,0.0,0.5,0.3,0.8
Shakira Austin,WAS,F-C,36,776,36,32,21.6,3.4,6.2,.547,0.0,0.0,.000,3.4,6.2,.550,1.9,3.0,.624,1.8,6.4,0.9,0.8,0.8,1.5,2.3,8.7
Rachel Banham,MIN,G,36,630,36,5,17.5,2.8,6.5,.430,1.6,4.1,.383,1.2,2.4,.512,0.7,0.8,.800,0.1,1.3,2.3,0.3,0.1,1.3,1.7,7.9
Kierstan Bell,LVA,F,21,121,21,1,5.8,0.5,1.6,.303,0.1,1.0,.136,0.3,0.5,.636,0.2,0.2,1.000,0.2,0.9,0.3,0.1,0.1,0.2,0.5,1.3
Katie Benzan,WAS,G,3,27,3,0,9.0,1.7,3.0,.556,1.7,2.3,.714,0.0,0.7,.000,1.0,1.3,.750,0.3,0.7,0.3,0.0,0.3,0.7,2.3,6.0
Monique Billings,ATL,F,23,401,23,8,17.4,2.4,5.1,.470,0.0,0.0,.000,2.4,5.0,.474,1.7,2.2,.765,2.0,6.3,1.1,0.8,0.3,1.3,2.3,6.5
Sue Bird*,SEA,G,31,818,31,31,26.4,2.7,6.8,.403,1.8,4.6,.389,0.9,2.2,.433,0.5,0.5,1.000,0.2,1.9,6.0,1.2,0.1,1.9,0.7,7.8
DeWanna Bonner,CON,G-F,33,991,33,33,30.0,4.7,10.8,.439,1.4,4.2,.329,3.3,6.5,.512,2.6,3.2,.827,0.8,4.7,2.8,1.2,0.3,1.6,1.8,13.5
Lexie Brown,LAS,G,34,850,34,16,25.0,2.7,6.2,.441,1.6,3.9,.398,1.2,2.3,.513,0.1,0.2,.667,0.2,2.3,2.1,1.0,0.2,0.8,1.3,7.1
Kennedy Burke,WAS,G-F,16,222,16,4,13.9,2.1,4.6,.446,0.7,2.0,.344,1.4,2.6,.524,0.6,1.1,.588,0.5,2.2,0.4,1.0,0.3,0.5,1.1,5.4
Rae Burrell,LAS,G-F,3,44,3,1,14.7,0.3,3.0,.111,0.3,2.0,.167,0.0,1.0,.000,0.7,0.7,1.000,0.3,1.0,0.3,0.7,0.0,0.3,1.3,1.7
Veronica Burton,DAL,G,36,548,36,6,15.2,0.7,2.1,.329,0.3,1.2,.279,0.4,0.9,.394,0.9,0.9,1.000,0.5,1.5,1.9,0.9,0.3,1.0,1.4,2.6
Maya Caldwell,ATL,G,9,214,9,7,23.8,4.2,8.2,.514,2.0,3.6,.563,2.2,4.7,.476,0.4,0.6,.800,0.6,2.4,2.2,0.8,0.2,1.6,1.7,10.9
Liz Cambage,LAS,C,25,584,25,24,23.4,4.7,9.2,.509,0.2,0.6,.286,4.5,8.6,.523,3.5,4.4,.784,1.3,6.4,2.1,0.6,1.6,2.3,3.2,13.0
Jordin Canada,LAS,G,32,865,32,25,27.0,3.3,8.5,.384,0.2,1.6,.140,3.0,6.9,.439,2.5,3.1,.806,0.2,2.3,5.5,1.4,0.2,2.3,1.8,9.2
Bridget Carleton,MIN,F,36,606,36,2,16.8,1.5,3.8,.400,0.8,2.3,.349,0.7,1.4,.481,0.5,0.7,.731,0.3,2.1,1.1,0.4,0.1,0.6,1.6,4.3
DiJonai Carrington,CON,G-F,36,631,36,2,17.5,2.3,5.6,.414,0.5,1.7,.306,1.8,3.9,.461,1.6,2.1,.750,1.1,3.1,1.1,0.8,0.1,1.6,1.9,6.8
Chennedy Carter,LAS,G,24,393,24,2,16.4,3.5,7.9,.450,0.1,0.4,.200,3.5,7.5,.464,1.7,2.3,.745,0.4,1.9,1.9,0.6,0.4,1.8,2.2,8.9
Kaila Charles,ATL,G-F,1,2,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alysha Clark,WAS,F,29,766,29,29,26.4,3.1,6.8,.464,1.0,3.4,.303,2.1,3.3,.629,0.7,0.8,.913,0.8,4.5,2.0,1.0,0.3,1.3,1.9,8.0
Natasha Cloud,WAS,G,34,1065,34,34,31.3,3.6,9.1,.399,1.3,4.0,.319,2.4,5.1,.462,2.2,2.7,.824,0.5,3.6,7.0,1.0,0.3,2.8,1.6,10.7
Nia Clouden,CON,G,28,250,28,0,8.9,0.6,1.9,.340,0.4,1.0,.414,0.2,0.9,.250,0.4,0.6,.588,0.1,0.8,0.8,0.2,0.0,0.4,0.9,2.1
Alaina Coates,IND,C,8,75,8,0,9.4,0.9,1.4,.636,0.0,0.0,,0.9,1.4,.636,1.8,1.9,.933,0.8,2.0,0.3,0.3,0.4,0.6,2.3,3.5
Nia Coffey,ATL,F,16,336,16,16,21.0,2.2,6.3,.347,0.6,1.9,.290,1.6,4.4,.371,1.4,1.9,.742,0.4,5.2,0.8,0.6,0.1,2.2,2.2,6.4
Charli Collier,DAL,C,17,78,17,0,4.6,0.7,1.6,.444,0.0,0.1,.000,0.7,1.5,.480,0.6,0.8,.714,0.2,0.6,0.1,0.1,0.0,0.6,1.1,2.0
Napheesa Collier,MIN,F,4,91,4,4,22.8,2.8,6.5,.423,0.5,1.8,.286,2.3,4.8,.474,1.3,1.8,.714,0.5,3.0,1.0,0.5,0.3,0.3,2.3,7.3
