Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,142,17,0,8.4,1.1,2.6,.432,0.1,0.4,.143,1.1,2.2,.486,0.2,0.2,1.000,0.2,0.5,0.3,0.1,0.0,0.4,0.9,2.5
Danielle Adams,SAS,F-C,34,700,34,14,20.6,4.0,9.8,.407,1.1,3.7,.307,2.8,6.0,.468,1.9,2.3,.797,1.2,4.1,0.9,0.6,0.7,1.3,3.0,10.9
Matee Ajavon,ATL,G,24,220,24,1,9.2,0.6,2.3,.278,0.0,0.4,.111,0.6,1.9,.311,0.9,1.2,.724,0.4,0.8,0.7,0.5,0.0,0.9,1.2,2.2
Kayla Alexander,SAS,C,33,298,33,0,9.0,1.0,2.3,.434,0.0,0.0,,1.0,2.3,.434,0.8,0.9,.839,0.8,2.0,0.2,0.1,0.3,0.7,1.2,2.8
Jayne Appel-Marinelli,SAS,C,34,843,34,34,24.8,2.1,3.8,.538,0.0,0.0,1.000,2.0,3.8,.535,0.8,1.3,.605,1.9,7.9,2.1,0.5,0.9,1.4,2.8,4.9
Seimone Augustus*,MIN,G-F,24,749,24,24,31.2,7.1,13.9,.511,0.5,1.5,.333,6.6,12.4,.532,1.8,2.2,.846,0.5,3.6,2.4,0.4,0.1,1.6,1.0,16.5
Mistie Bass,PHO,F,34,493,34,0,14.5,1.7,3.4,.509,0.0,0.0,,1.7,3.4,.509,0.9,1.4,.667,1.2,3.2,0.5,0.5,0.4,0.7,1.5,4.4
Vicki Baugh,TUL,F-C,33,266,33,0,8.1,1.0,1.7,.589,0.0,0.0,,1.0,1.7,.589,0.5,0.7,.727,1.1,2.9,0.2,0.3,0.2,0.5,1.7,2.5
Alana Beard,LAS,G-F,33,913,33,33,27.7,3.6,7.8,.463,0.2,0.8,.286,3.4,6.9,.485,1.1,1.4,.745,0.6,2.6,2.5,1.1,0.5,1.8,2.6,8.5
Alex Bentley,CON,G,34,872,34,30,25.6,5.1,11.8,.433,0.9,2.8,.323,4.2,9.0,.467,1.1,1.4,.755,0.2,1.7,3.7,1.3,0.1,2.0,2.7,12.2
Tiffany Bias,PHO,G,17,68,17,0,4.0,0.4,1.1,.389,0.1,0.4,.333,0.3,0.7,.417,0.1,0.4,.333,0.0,0.2,0.4,0.3,0.0,0.7,0.7,1.1
Sue Bird*,SEA,G,33,963,33,33,29.2,3.9,10.1,.386,1.2,3.4,.345,2.7,6.7,.407,1.6,2.0,.831,0.2,2.2,4.0,0.8,0.0,2.3,1.0,10.6
Kelsey Bone,CON,C,34,793,34,26,23.3,4.0,8.9,.451,0.0,0.1,.000,4.0,8.9,.455,1.3,1.9,.662,1.7,5.3,1.4,0.6,0.5,2.0,3.0,9.3
DeWanna Bonner,PHO,G-F,34,994,34,34,29.2,3.8,8.3,.459,0.7,2.5,.279,3.1,5.7,.538,2.1,2.7,.780,1.0,4.1,2.3,1.4,0.4,1.4,1.3,10.4
Gennifer Brandon,CHI,F,16,122,16,2,7.6,0.7,2.1,.333,0.0,0.0,,0.7,2.1,.333,0.4,0.8,.462,0.7,2.6,0.2,0.2,0.4,0.6,0.4,1.8
Kara Braxton,NYL,C-F,4,31,4,0,7.8,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,0.5,0.5,1.000,0.3,1.0,0.8,0.3,0.3,1.0,0.3,2.5
Jessica Breland,CHI,F,32,849,32,32,26.5,4.2,9.2,.461,0.0,0.1,.000,4.2,9.1,.466,1.3,1.7,.759,2.0,6.8,1.9,0.9,1.8,2.2,2.8,9.7
Rebekkah Brunson,MIN,F,11,303,11,11,27.5,2.9,7.4,.395,0.0,0.0,,2.9,7.4,.395,1.4,1.9,.714,2.5,8.2,1.5,0.3,0.7,0.9,1.8,7.2
Heather Butler,SAS,G,11,38,11,0,3.5,0.1,0.8,.111,0.1,0.5,.167,0.0,0.3,.000,0.3,0.4,.750,0.1,0.3,0.3,0.0,0.0,0.5,0.6,0.5
Kelley Cain,CON,C,8,45,8,0,5.6,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,0.4,0.5,.750,0.6,1.5,0.1,0.3,0.5,0.4,1.1,1.4
Essence Carson,NYL,G,26,365,26,11,14.0,1.3,3.8,.354,0.3,0.9,.292,1.1,2.9,.373,0.4,0.5,.833,0.3,1.7,0.9,0.3,0.2,1.0,0.9,3.3
