Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,CON,F,6,107,6,0,17.8,1.8,6.0,.306,0.3,2.0,.167,1.5,4.0,.375,1.7,2.0,.833,0.5,3.3,2.0,1.3,0.0,1.8,2.2,5.7
Matee Ajavon,HOU,G,34,604,34,2,17.8,2.8,8.3,.332,0.4,2.0,.194,2.4,6.4,.375,2.1,2.7,.791,1.0,1.8,1.7,0.9,0.2,1.6,2.5,8.0
Charel Allen,SAC,G,6,49,6,0,8.2,1.2,2.7,.438,0.3,1.0,.333,0.8,1.7,.500,0.0,0.0,,0.3,1.0,0.5,0.2,0.0,1.0,0.8,2.7
Jolene Anderson,CON,G,24,367,24,7,15.3,1.5,5.3,.278,0.7,2.9,.232,0.8,2.4,.333,0.5,0.6,.733,0.5,2.4,1.1,0.3,0.0,0.7,0.7,4.0
Nicky Anosike,MIN,F-C,34,920,34,34,27.1,2.9,6.6,.438,0.0,0.0,.000,2.9,6.6,.440,3.4,4.9,.699,2.3,6.8,1.3,2.2,1.3,1.2,3.7,9.2
La'Tangela Atkinson,SAC,G-F,5,73,5,1,14.6,1.2,3.2,.375,0.0,0.2,.000,1.2,3.0,.400,0.4,0.8,.500,0.6,2.8,1.6,1.0,0.4,2.0,1.0,2.8
Morenike Atunrase,SAS,G-F,33,348,33,0,10.5,0.7,2.6,.276,0.4,1.2,.293,0.4,1.4,.261,0.3,0.5,.688,0.5,1.5,0.7,0.5,0.4,0.8,0.6,2.2
Seimone Augustus*,MIN,G-F,31,1042,31,31,33.6,7.5,16.0,.470,0.6,2.0,.317,6.9,14.0,.492,3.4,3.8,.890,0.9,3.9,2.7,1.0,0.4,1.7,1.5,19.1
Sherill Baker,IND,G,13,110,13,0,8.5,0.9,2.8,.324,0.0,0.1,.000,0.9,2.8,.333,1.9,2.6,.735,0.5,1.7,1.2,0.7,0.1,0.8,1.2,3.8
Mistie Bass,HOU,F,32,365,32,0,11.4,1.5,2.9,.505,0.0,0.0,.000,1.5,2.9,.511,0.9,1.6,.549,1.1,2.4,0.6,0.4,0.3,0.8,1.0,3.8
Ashley Battle,NYL,F,34,336,34,0,9.9,1.1,2.9,.378,0.3,0.9,.367,0.8,2.0,.382,1.1,1.5,.720,0.5,1.6,0.7,0.4,0.0,0.8,0.8,3.6
Alana Beard,WAS,G-F,33,1092,33,33,33.1,5.7,14.4,.395,1.5,4.4,.354,4.1,10.0,.412,3.2,4.4,.733,0.1,3.6,3.5,1.7,0.6,3.2,3.4,16.1
Kimberly Beck,SEA,G,17,93,17,0,5.5,0.2,0.5,.444,0.2,0.4,.667,0.0,0.2,.000,0.3,0.4,.833,0.1,0.7,0.4,0.2,0.1,0.2,0.4,1.0
Val Berezhynska,SAS,C,2,6,2,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tully Bevilaqua,IND,G,30,876,30,30,29.2,2.1,5.3,.405,1.0,3.0,.337,1.1,2.3,.493,0.6,0.9,.607,0.4,2.3,2.2,2.0,0.1,1.2,2.4,5.8
Sue Bird*,SEA,G,33,1111,33,33,33.7,5.2,11.8,.441,1.4,4.2,.343,3.8,7.7,.494,2.2,2.6,.871,0.4,2.5,5.1,1.2,0.1,2.7,1.8,14.1
Nikki Blue,WAS,G,26,537,26,22,20.7,1.3,3.9,.324,0.5,1.2,.438,0.7,2.7,.271,0.7,1.0,.760,0.6,1.6,2.8,0.7,0.1,1.6,2.3,3.8
Shannon Bobbitt,LAS,G,26,552,26,17,21.2,1.3,4.9,.276,0.8,2.7,.282,0.6,2.2,.268,0.6,0.8,.727,0.6,2.5,3.5,1.0,0.0,2.4,1.5,4.1
LaToya Bond,IND,G,32,325,32,1,10.2,0.8,2.8,.289,0.3,1.3,.214,0.5,1.5,.354,0.4,0.5,.813,0.2,1.0,0.8,0.5,0.1,1.0,1.8,2.3
Kara Braxton,DET,C-F,33,590,33,10,17.9,3.2,7.8,.415,0.0,0.1,.000,3.2,7.8,.418,2.5,3.3,.743,1.5,5.1,0.8,0.4,0.7,1.6,2.5,8.9
Kiesha Brown,LAS,G,32,530,32,17,16.6,1.6,4.6,.356,0.7,2.1,.343,0.9,2.5,.367,1.0,1.1,.912,0.3,1.8,2.1,0.6,0.0,1.2,1.3,4.9
Rebekkah Brunson,SAC,F,30,779,30,30,26.0,4.5,9.0,.500,0.0,0.0,,4.5,9.0,.500,1.9,2.8,.671,2.9,7.1,0.4,1.2,0.7,1.7,2.7,10.9
Latasha Byears,HOU,G-F,11,46,11,0,4.2,0.7,1.5,.471,0.0,0.0,,0.7,1.5,.471,0.2,0.3,.667,0.5,1.1,0.1,0.3,0.0,0.1,1.5,1.6
Dominique Canty,CHI,G,28,737,28,28,26.3,2.5,6.4,.394,0.0,0.2,.167,2.5,6.2,.402,3.0,4.4,.669,0.9,2.5,4.1,1.0,0.1,1.9,2.6,8.1
Jamie Carey,CON,G,33,499,33,3,15.1,1.4,3.4,.423,1.0,2.5,.410,0.4,0.8,.464,0.3,0.3,.900,0.1,1.2,1.4,0.2,0.0,0.7,0.7,4.2
Essence Carson,NYL,G,34,646,34,30,19.0,2.7,7.2,.376,0.2,0.9,.276,2.5,6.4,.389,0.9,1.4,.674,0.7,2.2,0.9,0.9,0.2,1.0,1.4,6.6
Swin Cash*,SEA,F,31,927,31,28,29.9,3.7,9.5,.389,0.0,0.3,.125,3.6,9.2,.396,3.9,5.1,.772,1.5,5.4,1.9,0.7,1.0,2.2,2.3,11.3
Iziane Castro Marques,ATL,F-G,29,671,29,20,23.1,3.3,9.4,.353,1.0,3.2,.309,2.3,6.1,.376,1.7,2.0,.814,0.3,2.2,1.8,0.9,0.2,2.0,1.3,9.3
Tamika Catchings*,IND,F,25,694,25,17,27.8,4.0,10.3,.391,1.5,3.5,.432,2.5,6.8,.371,3.7,4.6,.800,1.9,6.3,3.3,2.0,0.4,2.4,3.0,13.3
Quianna Chaney,CHI,G,28,241,28,0,8.6,0.8,3.0,.277,0.4,1.8,.240,0.4,1.2,.333,0.4,0.4,.833,0.1,1.0,0.9,0.5,0.1,0.8,0.7,2.4
Shameka Christon,NYL,G,31,947,31,31,30.5,4.9,12.4,.397,2.3,5.6,.406,2.6,6.8,.390,3.6,4.3,.828,1.0,3.0,1.6,1.1,0.5,2.0,3.0,15.7
