Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Anita Maxwell,CLE,F,9,63,9,0,7.0,0.9,2.8,.320,0.0,0.0,,0.9,2.8,.320,0.3,0.9,.375,0.2,1.3,0.9,0.4,0.0,0.7,0.6,2.1
Tammi Reiss,UTA,G,28,831,28,26,29.7,2.6,8.3,.312,1.1,3.6,.297,1.5,4.6,.323,1.5,2.0,.764,1.0,2.8,3.1,0.8,0.1,2.2,2.0,7.7
Catarina Pollini,HOU,F,13,94,13,0,7.2,0.6,1.7,.364,0.0,0.0,,0.6,1.7,.364,0.5,0.9,.500,0.2,0.9,0.4,0.3,0.1,0.6,1.6,1.7
Bridget Pettis,PHO,G,28,842,28,28,30.1,3.8,11.4,.334,1.5,4.8,.306,2.4,6.6,.355,3.5,3.9,.898,1.3,3.8,2.8,1.8,0.4,2.9,2.0,12.6
Kim Perrot,HOU,G,28,692,28,24,24.7,2.1,5.8,.364,1.0,3.5,.283,1.1,2.3,.492,0.5,1.3,.405,0.6,2.7,3.1,2.5,0.1,2.3,1.9,5.8
Jasmina Perazic-Gipe,NYL,G-F,9,47,9,0,5.2,0.6,1.4,.385,0.0,0.3,.000,0.6,1.1,.500,0.0,0.0,,0.2,1.2,0.4,0.3,0.0,0.8,0.1,1.1
Wendy Palmer,UTA,F,28,936,28,28,33.4,5.6,15.0,.374,0.4,1.7,.250,5.2,13.3,.390,4.2,6.2,.676,2.7,8.0,1.7,1.7,0.2,2.5,3.1,15.8
Tina Nicholson,CLE,G,24,273,24,14,11.4,0.8,1.8,.409,0.4,1.0,.375,0.4,0.8,.450,0.1,0.2,.600,0.1,0.4,1.8,0.5,0.0,1.2,1.2,2.0
Eva Nemcova,CLE,F,28,944,28,28,33.7,4.9,10.4,.473,1.3,3.0,.435,3.6,7.4,.488,2.5,3.0,.855,0.8,3.9,2.4,1.4,0.3,2.8,1.9,13.7
Judy Mosley-McAfee,SAC,F,13,265,13,9,20.4,1.7,3.8,.440,0.0,0.0,,1.7,3.8,.440,0.8,0.8,1.000,1.8,3.6,0.8,0.6,0.2,1.8,2.3,4.2
Yolanda Moore,HOU,F-C,13,93,13,0,7.2,0.4,1.5,.250,0.0,0.0,,0.4,1.5,.250,0.5,0.9,.500,0.5,1.0,0.1,0.1,0.0,0.5,0.7,1.2
Penny Moore,CHA,F,28,539,28,9,19.3,2.0,5.7,.358,0.2,0.9,.200,1.9,4.8,.388,0.6,1.1,.516,0.5,2.6,1.0,0.6,0.4,1.6,1.3,4.8
Pamela McGee,SAC,F-C,27,691,27,23,25.6,3.8,8.2,.459,0.1,0.3,.286,3.7,8.0,.465,2.9,4.1,.705,2.0,4.4,0.7,1.0,0.5,2.7,4.2,10.6
Laure Savasta,SAC,G,14,157,14,0,11.2,0.8,3.2,.244,0.3,1.4,.200,0.5,1.8,.280,0.5,0.6,.778,0.1,0.4,0.9,0.3,0.1,1.5,1.0,2.4
Rhonda Mapp,CHA,C,28,710,28,23,25.4,4.3,8.7,.492,0.1,0.3,.500,4.1,8.4,.492,2.9,3.8,.774,1.9,5.5,2.3,0.8,0.4,2.4,3.7,11.6
