Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,26,846,26,23,32.5,4.4,11.3,.391,0.8,3.0,.260,3.7,8.3,.438,3.7,5.1,.727,1.7,6.7,2.0,1.6,0.3,3.3,2.7,13.3
Markita Aldridge,WAS,G,5,35,5,0,7.0,0.6,1.8,.333,0.0,0.6,.000,0.6,1.2,.500,0.2,0.2,1.000,0.4,0.4,0.4,0.0,0.0,0.8,1.0,1.4
Tawona Alhaleem,ORL,F-G,26,252,26,1,9.7,0.7,2.2,.328,0.2,0.4,.364,0.6,1.8,.319,0.3,0.5,.500,0.6,1.5,0.5,0.4,0.0,1.1,0.8,1.9
Mactabene Amachree,NYL,F,2,3,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.5,1.0,.500,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5
Keisha Anderson,CHA,G,18,102,18,0,5.7,0.1,0.9,.125,0.0,0.1,.000,0.1,0.8,.143,0.4,0.6,.800,0.2,0.8,0.8,0.3,0.0,0.9,0.4,0.7
Mery Andrade,CLE,F,32,893,32,32,27.9,1.8,5.3,.339,0.2,0.9,.200,1.6,4.4,.369,0.9,1.4,.667,0.7,2.7,3.1,1.6,0.3,1.9,2.4,4.8
Janeth Arcain,HOU,G,32,1154,32,32,36.1,6.8,15.9,.426,0.7,2.1,.333,6.1,13.8,.440,4.2,4.7,.900,1.5,4.3,2.9,1.9,0.1,2.6,2.6,18.5
Marlies Askamp,MIA,C,30,431,30,11,14.4,0.9,1.9,.483,0.0,0.0,,0.9,1.9,.483,0.6,1.1,.563,1.2,2.9,0.5,0.4,0.4,0.6,2.1,2.5
Jennifer Azzi,UTA,G,32,1205,32,32,37.7,2.3,5.8,.408,1.2,2.3,.514,1.2,3.4,.336,2.8,3.0,.917,0.3,3.1,5.3,0.7,0.3,2.2,2.8,8.6
Tricia Bader Binford,CLE,G,19,114,19,0,6.0,0.4,1.1,.400,0.3,0.7,.385,0.2,0.4,.429,0.0,0.0,,0.1,0.6,0.6,0.3,0.0,0.4,0.4,1.1
Elena Baranova,MIA,F,32,984,32,30,30.8,4.4,10.3,.427,0.9,2.5,.375,3.5,7.8,.444,2.1,2.2,.930,1.3,6.0,2.0,1.0,1.8,1.9,2.5,11.8
LaQuanda Barksdale,POR,G,5,35,5,0,7.0,0.2,2.0,.100,0.0,0.6,.000,0.2,1.4,.143,0.0,0.0,,0.2,1.2,0.8,0.4,0.0,0.2,0.6,0.4
Adia Barnes,CLE,F,3,3,3,0,1.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7
Quacy Barnes,SEA,C,20,229,20,3,11.5,1.2,3.0,.390,0.1,0.1,1.000,1.1,2.9,.379,1.1,1.4,.778,0.7,1.7,0.6,0.5,0.3,0.8,1.5,3.4
Cass Bauer-Bilodeau,WAS,C,15,102,15,0,6.8,0.3,1.1,.294,0.0,0.1,.000,0.3,1.1,.313,0.3,0.7,.500,0.5,1.2,0.2,0.1,0.1,0.4,0.8,1.0
Tully Bevilaqua,POR,G,31,788,31,31,25.4,1.3,3.8,.328,0.7,2.4,.315,0.5,1.5,.348,1.7,2.3,.732,0.9,2.8,3.3,1.9,0.2,1.7,3.3,4.9
Debbie Black,MIA,G,32,946,32,32,29.6,2.2,5.8,.374,0.1,0.6,.150,2.1,5.2,.401,1.2,1.5,.771,1.3,3.9,3.8,2.6,0.1,1.6,2.2,5.6
Cindy Blodgett,SAC,G,11,72,11,0,6.5,1.2,2.6,.448,0.7,1.4,.533,0.5,1.3,.357,0.0,0.0,,0.1,0.8,0.5,0.5,0.1,1.0,0.5,3.1
