Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,31,777,31,31,25.1,3.5,8.9,.395,1.1,2.6,.402,2.5,6.3,.392,1.7,2.4,.726,0.9,3.5,1.9,1.5,0.2,2.6,2.8,9.8
Mactabene Amachree,WAS,F,3,3,3,0,1.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Chantelle Anderson,SAS,C,34,669,34,19,19.7,2.4,5.2,.466,0.0,0.0,,2.4,5.2,.466,1.1,1.4,.804,0.8,2.6,0.3,0.2,0.4,1.6,3.1,6.0
Janeth Arcain,HOU,G,34,1079,34,34,31.7,3.8,8.9,.421,0.1,0.5,.188,3.7,8.5,.434,2.4,2.8,.883,0.6,2.7,1.6,1.6,0.2,1.6,2.5,10.1
Elena Baranova,NYL,F,33,953,33,33,28.9,3.2,7.2,.441,1.0,2.6,.388,2.2,4.6,.470,1.4,1.7,.855,1.2,6.9,1.8,0.8,1.4,1.8,2.4,8.7
Suzy Batkovic-Brown,SEA,C,29,461,29,0,15.9,2.6,6.0,.437,0.1,0.2,.286,2.6,5.8,.443,1.6,2.0,.776,0.9,3.2,0.9,0.6,0.8,1.1,2.9,6.9
Jacqueline Batteast,MIN,F,8,46,8,0,5.8,0.0,0.8,.000,0.0,0.0,,0.0,0.8,.000,0.0,0.0,,0.0,0.6,0.4,0.0,0.1,0.4,0.5,0.0
Ashley Battle,SEA,F,2,8,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0
Alana Beard,WAS,G-F,30,1015,30,30,33.8,5.2,13.6,.380,1.1,3.4,.317,4.1,10.2,.401,2.7,3.5,.762,0.8,4.3,3.0,1.5,0.3,2.1,2.9,14.1
Jenni Benningfield,IND,F,10,52,10,0,5.2,0.3,0.8,.375,0.0,0.2,.000,0.3,0.6,.500,0.3,0.4,.750,0.3,0.6,0.4,0.1,0.1,0.4,0.5,0.9
