Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Markita Aldridge,WAS,G,29,272,29,0,9.4,0.9,1.9,.463,0.2,0.4,.500,0.7,1.4,.452,0.2,0.8,.318,0.3,0.8,1.0,0.3,0.1,0.9,1.0,2.2
Keisha Anderson,WAS,G,30,434,30,9,14.5,1.0,2.3,.426,0.1,0.3,.375,0.9,2.0,.433,0.5,0.6,.778,0.4,1.5,2.5,0.8,0.1,1.6,1.8,2.5
Mery Andrade,CLE,F,32,797,32,18,24.9,2.8,6.1,.456,0.8,2.3,.360,1.9,3.8,.517,1.9,2.5,.750,1.0,3.0,2.3,1.3,0.3,2.0,2.8,8.3
Janeth Arcain,HOU,G,32,977,32,32,30.5,3.4,7.3,.468,0.3,1.4,.200,3.1,5.9,.532,1.3,1.5,.837,1.1,3.7,1.9,1.3,0.1,1.7,2.1,8.4
Marlies Askamp,MIA,C,32,869,32,32,27.2,2.7,6.5,.407,0.0,0.1,.500,2.6,6.5,.406,2.5,3.7,.684,3.0,7.2,0.9,0.5,0.7,1.5,3.0,7.8
Jennifer Azzi,UTA,G,15,559,15,15,37.3,3.1,6.9,.452,0.7,1.6,.417,2.5,5.3,.463,2.7,2.9,.930,0.3,2.7,6.1,0.8,0.3,1.9,2.9,9.6
Tricia Bader Binford,CLE,G,25,201,25,0,8.0,0.7,1.9,.354,0.3,1.0,.333,0.4,1.0,.375,0.2,0.2,.833,0.1,0.4,0.8,0.7,0.0,0.7,0.6,1.9
Rhonda Banchero,SAC,C,9,21,9,0,2.3,0.2,0.8,.286,0.0,0.2,.000,0.2,0.6,.400,0.2,0.4,.500,0.2,0.3,0.1,0.0,0.0,0.2,0.3,0.7
Adia Barnes,CLE,F,5,18,5,0,3.6,0.6,1.0,.600,0.0,0.2,.000,0.6,0.8,.750,0.4,0.8,.500,0.4,0.4,0.8,0.0,0.0,0.4,0.4,1.6
Quacy Barnes,SEA,C,31,705,31,23,22.7,2.9,6.9,.418,0.0,0.3,.111,2.8,6.6,.431,1.0,1.8,.536,0.9,2.7,1.1,0.6,1.1,2.0,3.3,6.7
Cass Bauer-Bilodeau,CHA,C,29,398,29,18,13.7,1.0,2.5,.403,0.0,0.0,.000,1.0,2.4,.408,0.6,0.7,.857,0.7,1.9,0.5,0.3,0.1,1.0,2.5,2.6
Tully Bevilaqua,POR,G,32,796,32,32,24.9,1.3,3.5,.357,0.5,1.9,.283,0.7,1.6,.442,1.8,2.3,.778,0.6,3.0,2.8,1.3,0.2,2.1,2.9,4.8
Jessica Bibby,NYL,G,17,69,17,0,4.1,0.2,1.1,.167,0.1,0.4,.333,0.1,0.7,.083,0.6,0.8,.846,0.2,0.3,0.6,0.2,0.0,0.7,0.5,1.1
Debbie Black,MIA,G,32,820,32,32,25.6,1.8,4.7,.380,0.3,1.3,.214,1.5,3.4,.444,0.9,1.3,.690,0.7,2.9,3.1,1.8,0.0,1.6,2.7,4.8
Cindy Blodgett,SAC,G,20,133,20,0,6.7,1.0,2.5,.400,0.4,1.4,.286,0.6,1.1,.545,0.2,0.3,.667,0.1,0.5,0.2,0.4,0.1,0.7,0.5,2.6
Ruthie Bolton,SAC,G,29,868,29,29,29.9,4.6,12.7,.361,1.7,5.5,.313,2.9,7.2,.399,2.2,2.9,.762,1.4,3.7,2.0,1.2,0.0,1.6,2.1,13.1
Angie Braziel,CHA,F,22,203,22,3,9.2,0.9,2.2,.388,0.0,0.0,,0.9,2.2,.388,0.6,0.9,.684,0.7,1.5,0.2,0.2,0.0,0.8,1.1,2.3
Michelle Brogan,PHO,F,28,725,28,23,25.9,2.5,4.9,.511,0.3,0.9,.320,2.2,4.0,.554,2.3,2.8,.797,1.4,4.0,1.8,1.1,0.2,1.3,3.1,7.5
Edwina Brown,DET,G-F,32,619,32,7,19.3,1.9,5.3,.355,0.0,0.1,.250,1.8,5.2,.358,2.1,2.5,.838,1.1,2.8,2.3,0.8,0.2,2.1,2.4,5.9
Rushia Brown,CLE,F,30,679,30,22,22.6,3.1,6.2,.497,0.0,0.1,.500,3.1,6.2,.497,2.2,2.6,.846,1.8,4.1,1.5,1.3,0.4,2.0,2.7,8.4
Marla Brumfield,MIN,G,32,613,32,17,19.2,1.5,3.2,.465,0.0,0.3,.111,1.4,2.9,.500,0.9,1.3,.690,0.7,1.9,1.3,0.7,0.1,1.3,2.2,3.9
Vicky Bullett,WAS,F,32,1094,32,32,34.2,4.5,9.2,.486,0.3,1.1,.324,4.1,8.1,.508,1.4,2.0,.714,1.9,5.7,1.3,2.0,1.5,1.8,2.8,10.7
Linda Burgess,SAC,F,5,41,5,0,8.2,0.6,3.0,.200,0.0,0.0,,0.6,3.0,.200,1.2,1.8,.667,1.4,3.4,0.4,0.2,0.0,0.8,1.6,2.4
Alisa Burras,POR,C,21,314,21,4,15.0,3.0,5.2,.587,0.0,0.0,,3.0,5.2,.587,1.5,2.0,.756,1.0,3.5,0.3,0.1,0.3,1.7,1.7,7.6
Latasha Byears,SAC,G-F,32,521,32,0,16.3,2.3,4.5,.524,0.0,0.1,.500,2.3,4.4,.525,0.9,1.5,.612,1.3,3.8,0.7,0.9,0.2,1.1,2.3,5.7
Edna Campbell,SEA,G,16,510,16,16,31.9,5.3,13.4,.391,0.8,3.1,.265,4.4,10.4,.428,2.6,3.6,.707,0.5,2.1,2.3,1.2,0.3,2.5,2.2,13.9
Michelle Campbell,WAS,C,5,22,5,0,4.4,0.4,1.0,.400,0.0,0.0,,0.4,1.0,.400,0.4,0.4,1.000,0.0,0.4,0.2,0.0,0.2,0.6,0.4,1.2
Dominique Canty,DET,G,28,784,28,27,28.0,3.0,7.3,.409,0.0,0.2,.000,3.0,7.1,.419,3.3,4.7,.695,1.1,2.5,2.9,1.8,0.2,1.8,2.3,9.2
Jamie Cassidy,MIA,C,22,175,22,0,8.0,0.9,2.5,.364,0.2,0.4,.500,0.7,2.1,.340,1.4,2.0,.698,0.3,1.0,0.4,0.2,0.1,0.6,0.8,3.4
Michelle Cleary,PHO,G,24,509,24,7,21.2,0.6,1.9,.311,0.4,1.3,.333,0.2,0.6,.267,0.8,1.1,.704,0.5,1.5,3.2,1.4,0.1,0.6,1.5,2.5
Stacy Clinesmith,SAC,G,26,285,26,2,11.0,0.8,2.2,.351,0.5,1.6,.293,0.3,0.6,.500,0.5,0.7,.824,0.3,1.2,1.9,0.5,0.0,1.0,0.7,2.5
Katrina Colleton,MIA,F,32,873,32,32,27.3,3.2,9.2,.352,0.2,0.7,.238,3.1,8.5,.360,1.7,2.2,.757,0.5,2.0,1.6,0.8,0.2,2.0,2.0,8.3
Cynthia Cooper*,HOU,G,31,1085,31,31,35.0,5.8,12.6,.459,1.4,3.9,.355,4.4,8.7,.506,4.7,5.4,.875,0.5,2.7,5.0,1.3,0.2,3.2,2.0,17.7
Sylvia Crawley,POR,F,31,930,31,30,30.0,4.6,9.6,.480,0.0,0.1,.000,4.6,9.5,.483,2.3,3.3,.696,2.1,6.0,1.1,0.9,0.8,2.8,3.1,11.5
Beth Cunningham,WAS,G,21,198,21,0,9.4,0.8,3.2,.250,0.4,1.8,.243,0.4,1.5,.258,0.8,0.9,.842,0.2,1.0,0.6,0.1,0.0,0.6,1.1,2.8
Grace Daley,MIN,G,30,577,30,4,19.2,1.9,4.9,.388,0.6,1.9,.304,1.3,3.0,.440,1.4,2.2,.646,1.1,2.4,1.9,0.4,0.0,1.7,1.6,5.8
Helen Darling,CLE,G,32,556,32,0,17.4,1.5,4.7,.313,0.4,1.2,.342,1.1,3.5,.304,1.5,2.0,.738,0.8,2.0,2.0,1.2,0.2,2.1,1.6,4.8
Anna DeForge,DET,G,27,433,27,10,16.0,1.9,4.7,.405,0.7,2.1,.321,1.2,2.6,.471,0.9,1.2,.781,0.3,1.7,1.7,1.0,0.1,1.2,1.3,5.4
Keitha Dickerson,MIN,F,32,791,32,29,24.7,1.7,4.4,.380,0.0,0.1,.000,1.7,4.4,.386,1.1,1.4,.756,1.0,4.4,1.8,1.2,0.1,2.2,3.3,4.4
Tamecka Dixon,LAS,G,31,882,31,31,28.5,4.3,9.4,.454,0.4,1.1,.353,3.9,8.3,.467,2.0,2.5,.805,1.1,3.4,3.1,1.3,0.3,1.9,2.8,10.9
Cintia dos Santos,ORL,C,32,820,32,31,25.6,2.9,6.9,.423,0.0,0.0,.000,2.9,6.9,.425,1.3,1.8,.702,1.1,3.9,1.2,0.5,2.0,1.7,3.5,7.1
Margo Dydek,UTA,C,32,775,32,32,24.2,3.3,7.4,.445,0.1,0.4,.143,3.2,6.9,.464,2.6,3.2,.796,0.9,5.5,1.6,0.6,3.0,2.6,3.6,9.2
Simone Edwards,SEA,C,29,645,29,7,22.2,2.9,6.3,.456,0.0,0.0,,2.9,6.3,.456,1.7,2.8,.625,1.3,3.7,0.8,0.6,0.3,1.5,2.0,7.4
Tonya Edwards,PHO,G,32,926,32,32,28.9,3.5,9.3,.376,1.1,3.6,.307,2.4,5.8,.418,2.5,3.2,.782,0.6,2.4,1.8,1.1,0.3,2.0,2.5,10.6
Shalonda Enis,CHA,F-C,12,323,12,9,26.9,3.4,8.7,.394,0.9,2.7,.344,2.5,6.0,.417,3.8,5.0,.767,1.8,3.8,0.8,0.8,0.1,1.3,2.5,11.6
Summer Erb,CHA,C,29,275,29,0,9.5,1.1,2.5,.438,0.0,0.0,.000,1.1,2.5,.444,1.0,1.5,.651,0.9,2.2,0.3,0.3,0.2,0.6,2.3,3.2
