Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,34,720,34,2,21.2,2.9,7.1,.411,0.7,1.9,.369,2.2,5.2,.426,1.2,1.8,.661,1.3,3.1,1.6,1.0,0.0,1.8,1.9,7.7
Chantelle Anderson,SAS,C,23,413,23,20,18.0,2.6,4.9,.527,0.0,0.0,,2.6,4.9,.527,1.5,2.0,.778,1.2,3.7,0.7,0.3,0.4,1.3,3.2,6.7
La'Tangela Atkinson,IND,G-F,33,419,33,1,12.7,1.2,2.6,.437,0.2,0.5,.294,1.0,2.1,.471,0.5,1.2,.462,0.8,2.3,0.7,0.5,0.2,1.0,0.9,3.0
Seimone Augustus*,MIN,G-F,34,1127,34,34,33.1,8.3,18.2,.456,0.9,2.5,.353,7.4,15.7,.473,4.4,4.9,.897,0.4,3.8,1.5,0.6,0.5,2.1,1.7,21.9
Sherill Baker,NYL,G,34,614,34,16,18.1,2.9,7.4,.386,0.3,1.0,.273,2.6,6.4,.404,1.4,1.6,.857,0.7,1.6,1.0,1.4,0.0,1.5,2.0,7.4
Mistie Bass,HOU,F,27,273,27,6,10.1,1.3,2.4,.531,0.0,0.0,,1.3,2.4,.531,0.4,1.3,.324,1.1,2.4,0.6,0.4,0.1,0.4,1.2,2.9
Jacqueline Batteast,DET,F,26,174,26,1,6.7,0.6,2.1,.278,0.1,0.5,.143,0.5,1.5,.325,0.2,0.3,.571,0.5,1.0,0.3,0.1,0.1,0.2,0.8,1.4
Ashley Battle,NYL,F,33,455,33,2,13.8,1.6,4.3,.383,0.5,1.4,.326,1.2,2.9,.411,0.6,0.8,.800,0.4,1.9,0.9,0.9,0.1,1.2,1.0,4.3
Alana Beard,WAS,G-F,32,1000,32,32,31.3,7.3,14.7,.495,1.2,3.2,.363,6.1,11.5,.531,3.5,4.7,.758,0.7,4.7,3.1,1.8,0.8,2.8,2.9,19.2
Tully Bevilaqua,IND,G,34,1011,34,34,29.7,2.2,5.4,.411,1.0,3.1,.311,1.3,2.3,.544,1.1,1.6,.717,0.3,2.3,2.3,2.1,0.0,1.6,2.1,6.6
Agnieszka Bibrzycka,SAS,G-F,32,752,32,22,23.5,4.1,9.7,.418,1.7,4.9,.350,2.3,4.8,.487,1.4,1.7,.868,0.3,2.1,1.5,0.8,0.4,1.5,1.5,11.3
Sue Bird*,SEA,G,34,1066,34,34,31.4,4.0,9.8,.411,1.6,4.5,.366,2.4,5.3,.450,1.7,2.0,.868,0.7,3.0,4.8,1.8,0.1,2.6,1.8,11.4
Nikki Blue,WAS,G,24,181,24,0,7.5,0.6,2.3,.259,0.0,0.5,.083,0.5,1.8,.310,1.0,1.3,.806,0.3,0.8,1.5,0.8,0.0,0.8,1.5,2.3
LaToya Bond,CHA,G,34,608,34,5,17.9,1.9,4.6,.399,0.3,1.4,.217,1.6,3.3,.473,1.7,2.3,.740,0.2,1.4,2.1,1.0,0.2,2.4,2.4,5.7
Kara Braxton,DET,C-F,34,360,34,1,10.6,1.7,4.2,.406,0.0,0.1,.000,1.7,4.1,.411,0.9,1.4,.625,1.2,3.4,0.8,0.3,0.3,1.6,2.4,4.3
Coretta Brown,CHI,G,15,252,15,2,16.8,1.1,3.9,.271,0.8,2.9,.273,0.3,1.0,.267,0.3,0.5,.500,0.3,1.5,1.7,0.7,0.0,1.2,0.8,3.2
Edwina Brown,HOU,G-F,4,28,4,0,7.0,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,0.5,0.5,1.000,0.3,1.0,0.3,0.3,0.0,0.5,0.5,1.0
