Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tajama Abraham,DET,C,12,44,12,0,3.7,0.4,1.2,.357,0.0,0.0,,0.4,1.2,.357,0.7,1.3,.533,0.2,0.6,0.0,0.2,0.1,0.4,0.7,1.5
Janeth Arcain,HOU,G,30,657,30,4,21.9,2.8,6.5,.426,0.2,1.1,.152,2.6,5.4,.481,1.1,1.5,.756,1.4,3.6,0.9,0.8,0.1,1.3,1.6,6.8
Marlies Askamp,PHO,C,26,319,26,0,12.3,1.9,4.0,.471,0.0,0.0,,1.9,4.0,.471,1.6,2.4,.661,1.4,3.3,0.5,0.5,0.3,0.8,1.7,5.3
Tricia Bader Binford,UTA,G,22,206,22,0,9.4,0.7,2.4,.302,0.5,1.2,.370,0.3,1.2,.231,0.2,0.4,.500,0.0,0.5,0.9,0.6,0.0,1.2,1.5,2.1
Elena Baranova,UTA,F,20,671,20,19,33.6,4.6,11.0,.420,0.8,2.4,.313,3.9,8.6,.450,3.0,3.6,.831,3.1,9.3,3.5,1.1,1.5,2.8,2.2,12.9
Adia Barnes,SAC,F,29,619,29,16,21.3,3.0,7.7,.395,0.5,1.6,.298,2.6,6.1,.420,1.0,1.3,.744,1.2,2.9,0.8,0.5,0.3,1.8,2.4,7.6
Quacy Barnes,SAC,C,17,90,17,0,5.3,0.4,0.9,.400,0.0,0.0,,0.4,0.9,.400,0.2,0.6,.364,0.3,0.5,0.1,0.1,0.4,0.5,1.2,0.9
Tully Bevilaqua,CLE,G,11,126,11,2,11.5,0.7,1.3,.571,0.1,0.3,.333,0.6,1.0,.636,0.4,0.5,.667,0.2,0.9,2.1,1.1,0.2,0.8,1.1,1.9
Rhonda Blades,DET,G,29,340,29,2,11.7,0.7,2.7,.256,0.4,1.7,.240,0.3,1.0,.286,0.5,1.0,.483,0.2,1.1,1.4,0.4,0.0,1.4,1.6,2.3
Cindy Blodgett,CLE,G,22,184,22,0,8.4,0.9,3.0,.288,0.5,1.7,.270,0.4,1.3,.310,0.7,1.1,.625,0.1,0.6,0.8,0.4,0.0,0.5,0.8,2.9
Octavia Blue,LAS,F,30,331,30,3,11.0,0.9,2.6,.338,0.2,0.7,.286,0.7,1.9,.357,0.5,0.8,.625,0.6,1.6,0.3,0.4,0.1,0.9,1.4,2.4
Ruthie Bolton,SAC,G,5,133,5,4,26.6,3.4,11.6,.293,0.8,5.2,.154,2.6,6.4,.406,3.4,5.6,.607,1.0,2.2,1.2,1.2,0.0,1.4,2.4,11.0
Karen Booker,HOU,C,1,2,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kelly Boucher,CHA,F,9,52,9,0,5.8,0.3,1.7,.200,0.1,0.7,.167,0.2,1.0,.222,0.3,0.4,.750,0.2,1.4,0.2,0.1,0.0,0.3,0.3,1.1
Carla Boyd,DET,F,30,817,30,24,27.2,3.0,8.7,.342,0.6,2.1,.302,2.3,6.6,.355,1.6,2.5,.632,1.7,3.9,2.3,0.9,0.3,1.7,2.9,8.2
Albena Branzova,NYL,F,11,94,11,0,8.5,0.8,2.3,.360,0.2,0.4,.500,0.6,1.9,.333,0.3,0.4,.750,0.5,1.5,0.5,0.3,0.1,1.1,1.1,2.1
Gergana Branzova,DET,F,26,204,26,0,7.8,1.1,2.5,.446,0.0,0.2,.000,1.1,2.3,.475,0.4,0.8,.550,0.5,1.6,0.3,0.1,0.2,0.8,1.6,2.7
Janice Braxton,CLE,F,30,840,30,30,28.0,3.6,7.3,.495,0.1,0.2,.333,3.5,7.1,.500,2.6,3.4,.755,1.2,5.6,2.5,1.7,0.5,2.2,2.6,9.8
Razija Brcaninovic,DET,C,30,695,30,30,23.2,3.5,6.8,.520,0.0,0.0,,3.5,6.8,.520,2.0,3.0,.667,1.8,5.1,1.0,0.3,0.9,2.1,2.9,9.1
Michelle Brogan,PHO,F,30,779,30,25,26.0,3.1,6.1,.505,0.4,0.8,.478,2.7,5.4,.509,2.6,3.3,.796,1.5,4.4,1.4,1.5,0.2,1.7,1.6,9.2
Sandy Brondello,DET,G,30,993,30,28,33.1,5.2,12.2,.428,0.5,1.5,.364,4.7,10.8,.437,3.2,3.5,.923,0.6,2.9,3.3,1.3,0.0,2.1,1.9,14.2
Cindy Brown,DET,F,30,965,30,30,32.2,4.2,8.9,.470,0.7,2.0,.328,3.5,6.9,.512,2.7,3.9,.707,2.3,10.0,1.8,1.7,0.7,2.2,3.5,11.8
La'Shawn Brown,WAS,C,22,272,22,2,12.4,0.6,1.7,.351,0.0,0.0,,0.6,1.7,.351,0.8,1.5,.515,0.8,2.4,0.4,0.5,0.9,1.1,2.8,2.0
Rushia Brown,CLE,F,30,522,30,7,17.4,2.1,4.6,.460,0.0,0.0,.000,2.1,4.6,.464,2.2,2.8,.776,1.1,3.1,0.9,1.1,0.5,1.6,2.6,6.5
Vicky Bullett,CHA,F,30,947,30,30,31.6,5.4,12.2,.441,0.1,0.9,.154,5.3,11.4,.463,2.4,2.9,.826,2.1,6.5,1.5,2.2,1.5,2.1,2.9,13.3
Heidi Burge,WAS,F-C,30,501,30,15,16.7,2.7,5.3,.509,0.1,0.2,.286,2.6,5.1,.520,1.2,2.1,.597,1.0,3.3,0.9,0.5,0.5,2.4,3.1,6.7
Linda Burgess,SAC,F,30,692,30,29,23.1,3.0,6.3,.476,0.0,0.3,.125,3.0,6.0,.492,1.5,2.0,.763,1.8,4.9,0.9,1.4,0.4,2.0,2.7,7.5
Latasha Byears,SAC,G-F,30,828,30,26,27.6,6.0,13.3,.453,0.1,0.6,.222,5.9,12.7,.463,2.0,3.1,.663,2.8,6.6,1.0,1.4,0.4,2.4,4.0,14.2
Deborah Carter,WAS,G-F,29,434,29,6,15.0,1.3,5.0,.271,0.4,1.7,.245,0.9,3.3,.284,0.7,0.9,.808,0.7,2.2,0.8,0.6,0.1,1.4,2.0,3.8
Elisabeth Cebrian,NYL,C,22,187,22,0,8.5,0.7,1.6,.429,0.0,0.0,,0.7,1.6,.429,0.4,0.6,.571,0.5,1.2,0.4,0.0,0.3,0.9,1.5,1.7
Keri Chaconas,WAS,G,30,397,30,1,13.2,1.5,4.9,.297,1.0,3.5,.286,0.5,1.4,.326,0.9,1.1,.788,0.2,0.8,1.3,0.4,0.0,1.6,1.8,4.8
Sonia Chase,CHA,G,23,166,23,0,7.2,0.6,1.2,.500,0.0,0.0,,0.6,1.2,.500,0.3,0.3,1.000,0.2,0.6,0.6,0.2,0.0,0.6,0.7,1.5
Katrina Colleton,LAS,F,30,575,30,14,19.2,1.0,3.3,.303,0.2,0.6,.263,0.8,2.7,.313,0.5,0.6,.833,0.8,1.7,1.6,0.6,0.4,1.0,1.5,2.7
Andrea Congreaves,CHA,F-C,24,372,24,10,15.5,1.5,3.4,.432,0.6,2.1,.294,0.8,1.3,.667,0.8,0.9,.905,0.8,3.0,1.5,0.5,0.2,1.0,1.5,4.3
Cynthia Cooper*,HOU,G,30,1051,30,30,35.0,6.8,15.2,.446,2.1,5.3,.400,4.6,9.8,.471,7.0,8.2,.854,0.8,3.7,4.4,1.6,0.4,3.2,2.2,22.7
