Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,623,34,17,18.3,2.9,5.2,.557,0.0,0.0,,2.9,5.2,.557,1.3,1.7,.763,1.1,3.7,0.7,0.4,0.5,0.9,2.2,7.1
Danielle Adams,CON,F-C,19,83,19,0,4.4,0.8,2.4,.356,0.6,1.6,.387,0.2,0.7,.286,0.3,0.3,1.000,0.4,0.6,0.2,0.2,0.2,0.4,1.3,2.6
Matee Ajavon,ATL,G,31,250,31,2,8.1,0.7,2.5,.289,0.0,0.1,.000,0.7,2.3,.306,1.0,1.3,.795,0.3,1.2,1.0,0.4,0.0,0.9,1.0,2.4
Evelyn Akhator,DAL,F,15,61,15,0,4.1,0.3,1.1,.250,0.0,0.0,,0.3,1.1,.250,0.3,0.4,.833,0.5,0.6,0.0,0.1,0.2,0.3,0.4,0.9
Kayla Alexander,SAS,C,34,522,34,10,15.4,2.8,4.9,.582,0.0,0.0,,2.8,4.9,.582,0.6,0.6,.909,1.3,3.1,0.5,0.4,0.5,0.9,2.0,6.2
Lindsay Allen,NYL,G,28,376,28,0,13.4,0.8,2.2,.371,0.0,0.5,.000,0.8,1.8,.469,0.3,0.4,.700,0.4,1.5,2.2,0.6,0.0,0.7,0.9,1.9
Rebecca Allen,NYL,F-G,33,304,33,0,9.2,1.2,3.1,.376,0.5,1.3,.341,0.7,1.7,.404,0.1,0.2,.333,0.4,2.0,0.5,0.4,0.4,0.5,1.1,2.8
Ameryst Alston,NYL,G,2,3,2,0,1.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,0.0,0.0,,0.5,1.0,0.5,0.0,0.0,0.5,0.0,1.0
Seimone Augustus*,MIN,G-F,32,886,32,32,27.7,4.6,9.2,.502,0.6,1.4,.432,4.0,7.8,.514,1.0,1.2,.868,0.4,2.9,4.0,0.6,0.1,1.4,1.0,10.9
Rachel Banham,CON,G,30,283,30,0,9.4,1.1,3.4,.327,0.5,1.9,.281,0.6,1.5,.386,0.5,0.7,.800,0.1,1.1,0.7,0.1,0.0,0.4,0.9,3.3
Alana Beard,LAS,G-F,34,1048,34,34,30.8,2.8,5.7,.497,0.2,0.6,.316,2.6,5.1,.517,1.1,1.4,.804,0.6,3.3,2.2,2.1,0.5,1.3,2.7,6.9
Alex Bentley,CON,G,31,735,31,9,23.7,3.2,8.5,.380,0.7,2.5,.278,2.5,5.9,.424,1.2,1.5,.809,0.1,1.5,2.9,0.8,0.1,0.9,2.2,8.4
Sue Bird*,SEA,G,30,901,30,30,30.0,3.9,9.1,.427,2.0,5.0,.393,1.9,4.1,.468,0.8,1.0,.774,0.2,2.0,6.6,1.2,0.1,2.1,1.3,10.6
Brittany Boyd,NYL,G,2,32,2,2,16.0,4.5,7.5,.600,0.0,0.5,.000,4.5,7.0,.643,4.0,5.5,.727,1.5,4.0,2.5,1.5,0.0,1.0,2.5,13.0
Jessica Breland,CHI,F,34,834,34,33,24.5,4.1,8.6,.476,0.2,0.6,.381,3.9,8.0,.483,1.1,1.4,.787,1.6,6.3,1.6,0.6,1.7,1.8,2.1,9.5
Rebekkah Brunson,MIN,F,30,807,30,30,26.9,3.6,8.1,.449,0.8,2.2,.348,2.9,5.9,.486,2.1,3.0,.711,1.7,6.7,1.5,1.1,0.4,1.6,2.3,10.2
Adut Bulgak,CHI,C,5,61,5,0,12.2,1.8,4.4,.409,0.2,0.6,.333,1.6,3.8,.421,0.6,1.0,.600,0.8,4.0,0.0,1.0,0.4,0.6,2.2,4.4
Emma Cannon,PHO,F,34,440,34,0,12.9,1.6,3.4,.491,0.0,0.1,.000,1.6,3.3,.500,1.1,1.9,.587,1.3,3.6,0.3,0.1,0.1,0.9,2.1,4.4
Essence Carson,LAS,G,24,464,24,14,19.3,1.8,4.3,.404,0.4,1.5,.250,1.4,2.8,.485,0.9,1.0,.875,0.5,1.7,1.2,0.6,0.3,0.8,1.2,4.8
Tina Charles,NYL,C,34,1095,34,34,32.2,7.7,17.4,.442,0.7,2.0,.348,7.0,15.4,.454,3.6,4.5,.804,2.0,9.4,2.6,0.8,0.7,2.4,2.2,19.7
Saniya Chong,DAL,G,33,364,33,0,11.0,0.8,2.4,.359,0.3,1.2,.237,0.6,1.2,.475,0.8,0.9,.862,0.3,0.9,1.0,0.7,0.1,0.8,0.6,2.7
