Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Markita Aldridge,WAS,G,31,379,31,2,12.2,0.9,3.0,.309,0.1,0.6,.150,0.8,2.4,.351,0.6,1.1,.606,0.4,1.2,1.1,0.5,0.2,1.3,1.1,2.6
Mery Andrade,CLE,F,32,364,32,1,11.4,0.7,1.8,.390,0.2,0.8,.292,0.5,1.1,.457,0.6,0.8,.692,0.5,1.6,1.5,0.6,0.1,1.3,2.3,2.2
Janeth Arcain,HOU,G,32,735,32,1,23.0,2.2,5.1,.433,0.3,1.4,.250,1.9,3.8,.500,1.1,1.3,.829,1.0,2.8,1.2,0.9,0.1,1.2,2.0,5.8
Marlies Askamp,PHO,C,30,781,30,30,26.0,3.2,6.6,.482,0.0,0.1,.000,3.2,6.5,.487,3.1,3.8,.816,3.1,7.2,0.8,0.7,0.6,1.2,3.3,9.4
Angela Aycock,PHO,G,8,30,8,0,3.8,0.0,0.5,.000,0.0,0.4,.000,0.0,0.1,.000,0.5,0.5,1.000,0.0,0.1,0.4,0.3,0.0,0.8,0.6,0.5
Jennifer Azzi,DET,G,28,838,28,19,29.9,3.3,6.5,.514,1.1,2.1,.517,2.3,4.4,.512,3.1,3.7,.827,0.2,2.2,3.8,0.9,0.1,2.0,3.7,10.8
Elena Baranova,UTA,F,29,572,29,19,19.7,2.1,5.1,.405,0.7,1.7,.417,1.4,3.4,.400,1.1,1.4,.805,0.9,3.4,1.6,0.7,0.8,1.5,2.0,6.0
Adia Barnes,MIN,F,19,91,19,0,4.8,0.4,1.2,.304,0.1,0.2,.333,0.3,1.1,.300,0.3,0.6,.500,0.4,1.1,0.3,0.3,0.0,0.4,0.8,1.1
Cass Bauer-Bilodeau,CHA,C,25,123,25,0,4.9,0.5,1.4,.382,0.0,0.0,.000,0.5,1.3,.394,0.3,0.3,.875,0.2,0.8,0.2,0.0,0.0,0.5,0.8,1.3
Nina Bjedov,LAS,C,27,431,27,0,16.0,1.9,3.7,.520,0.3,0.7,.421,1.6,3.0,.543,0.3,0.7,.500,0.8,2.6,0.6,0.3,0.8,1.0,2.2,4.5
Debbie Black,UTA,G,32,1014,32,32,31.7,1.9,5.1,.378,0.3,1.3,.195,1.7,3.8,.439,1.0,1.6,.620,1.0,3.5,5.0,2.4,0.2,2.1,3.6,5.1
Cindy Blodgett,SAC,G,12,34,12,0,2.8,0.3,1.1,.231,0.0,0.6,.000,0.3,0.5,.500,0.4,0.8,.556,0.0,0.1,0.1,0.1,0.0,0.4,0.3,0.9
Ruthie Bolton,SAC,G,31,970,31,30,31.3,4.6,12.7,.364,1.9,6.0,.321,2.7,6.6,.403,2.4,3.0,.798,1.5,4.3,2.4,1.0,0.0,1.4,2.2,13.6
Carla Boyd,DET,F,32,694,32,26,21.7,2.2,5.4,.397,0.5,1.6,.333,1.6,3.8,.423,0.5,0.8,.630,0.8,2.3,1.6,0.8,0.3,1.7,2.6,5.4
Janice Braxton,CLE,F,26,476,26,21,18.3,2.0,4.3,.460,0.0,0.3,.125,2.0,4.0,.486,1.8,2.5,.697,1.0,4.3,1.3,0.7,0.5,1.3,2.0,5.8
Angie Braziel,CHA,F,7,41,7,0,5.9,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,1.4,1.7,.833,0.1,1.6,0.4,0.3,0.0,0.3,0.9,3.4
Sandy Brondello,DET,G,32,1002,32,32,31.3,4.8,10.8,.438,1.2,2.4,.487,3.6,8.5,.424,2.6,3.1,.847,0.9,2.1,2.3,0.8,0.2,2.3,2.5,13.3
Lesley Brown,DET,F,13,43,13,0,3.3,0.5,1.2,.438,0.1,0.2,.500,0.5,1.1,.429,0.3,0.5,.667,0.2,0.7,0.2,0.1,0.1,0.5,0.8,1.5
Rushia Brown,CLE,F,30,434,30,12,14.5,1.8,4.1,.427,0.0,0.0,.000,1.8,4.1,.431,0.8,1.2,.676,1.0,2.9,0.7,0.6,0.3,1.1,2.0,4.4
Vicky Bullett,CHA,F,32,1008,32,32,31.5,4.4,9.1,.486,0.3,0.8,.370,4.1,8.3,.498,2.3,3.0,.773,1.9,6.8,1.6,1.9,1.4,1.9,2.4,11.5
Annie La Fleur,MIN,G,25,333,25,0,13.3,0.9,2.7,.343,0.4,1.0,.440,0.5,1.7,.286,0.1,0.3,.250,0.6,1.5,1.4,0.3,0.0,0.8,0.8,2.4
Heather Burge,SAC,C,13,28,13,0,2.2,0.2,0.5,.429,0.0,0.0,,0.2,0.5,.429,0.1,0.4,.200,0.0,0.4,0.0,0.2,0.2,0.4,0.4,0.5
Linda Burgess,SAC,F,27,233,27,0,8.6,1.2,2.8,.434,0.0,0.0,.000,1.2,2.8,.440,1.1,1.5,.756,0.6,2.0,0.1,0.2,0.1,0.7,1.6,3.6
Alisa Burras,CLE,C,31,563,31,22,18.2,3.3,6.2,.539,0.0,0.0,,3.3,6.2,.539,0.8,1.5,.553,1.3,4.0,0.5,0.5,0.3,1.2,1.5,7.5
Latasha Byears,SAC,G-F,32,705,32,32,22.0,4.1,7.6,.537,0.0,0.0,.000,4.1,7.5,.539,1.1,1.9,.565,2.4,5.3,1.0,1.1,0.2,1.9,3.2,9.2
Edna Campbell,PHO,G,28,750,28,24,26.8,3.4,9.3,.364,1.4,3.6,.376,2.0,5.7,.356,1.4,2.0,.714,0.4,1.9,1.3,0.9,0.4,1.7,1.9,9.6
Michelle Campbell,UTA,C,8,30,8,0,3.8,0.4,1.3,.300,0.0,0.1,.000,0.4,1.1,.333,0.3,0.5,.500,0.0,0.8,0.3,0.0,0.0,0.5,0.5,1.0
Dominique Canty,DET,G,26,646,26,11,24.8,2.9,8.8,.332,0.1,0.7,.176,2.8,8.2,.344,3.6,5.2,.691,1.3,3.1,1.5,1.0,0.0,1.7,2.2,9.6
Sonia Chase,CHA,G,13,58,13,0,4.5,0.2,1.2,.188,0.2,0.8,.273,0.0,0.4,.000,0.2,0.2,1.000,0.2,0.4,0.4,0.3,0.0,0.2,0.7,0.8
Andrea Congreaves,ORL,F-C,32,812,32,32,25.4,2.3,4.7,.500,0.5,1.3,.366,1.9,3.4,.550,1.4,1.7,.830,1.3,3.2,1.1,0.8,0.2,1.5,2.6,6.5
Cynthia Cooper*,HOU,G,31,1101,31,31,35.5,6.8,14.8,.463,1.9,5.6,.335,5.0,9.2,.540,6.6,7.4,.891,0.5,2.8,5.2,1.4,0.4,3.4,2.0,22.1
Clarissa Davis-Wrightsil,PHO,F,14,259,14,9,18.5,3.7,8.6,.433,0.7,2.4,.303,3.0,6.2,.483,1.1,1.7,.667,1.1,2.7,1.4,0.9,0.3,1.6,2.8,9.3
Tamecka Dixon,LAS,G,32,563,32,14,17.6,2.4,6.2,.387,0.5,1.5,.313,1.9,4.7,.411,1.5,2.0,.738,0.5,2.1,1.7,0.5,0.1,1.2,1.3,6.8
Margo Dydek,UTA,C,32,733,32,28,22.9,4.4,8.8,.498,0.2,0.6,.350,4.2,8.2,.510,3.6,4.2,.857,1.2,6.4,1.8,0.4,2.4,2.8,3.5,12.6
Michelle Edwards,CLE,G,31,745,31,28,24.0,2.8,7.9,.359,0.5,2.2,.217,2.4,5.7,.415,1.5,2.1,.692,0.2,2.3,2.6,0.8,0.3,2.3,1.9,7.6
