Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,18,237,18,5,13.2,1.6,4.4,.354,0.5,1.8,.273,1.1,2.6,.413,0.2,0.4,.571,0.3,1.7,0.5,0.4,0.1,0.7,1.7,3.8
Natalie Achonwa,IND,F,28,484,28,17,17.3,3.1,5.7,.550,0.0,0.0,,3.1,5.7,.550,1.7,2.3,.746,1.4,3.5,0.6,0.5,0.5,1.3,2.1,8.0
Danielle Adams,SAS,F-C,30,482,30,2,16.1,2.6,6.4,.414,0.7,2.3,.324,1.9,4.1,.463,1.4,1.7,.827,1.1,3.3,0.5,0.5,0.3,1.2,1.5,7.4
Matee Ajavon,ATL,G,33,580,33,11,17.6,2.0,4.9,.405,0.1,0.5,.167,1.9,4.4,.434,1.8,2.2,.822,0.6,2.5,2.4,1.4,0.2,1.8,2.4,5.9
Kayla Alexander,SAS,C,29,358,29,0,12.3,1.3,3.1,.416,0.0,0.0,,1.3,3.1,.416,0.8,1.2,.647,1.0,3.3,0.2,0.2,0.8,0.8,1.5,3.3
Rebecca Allen,NYL,F-G,2,34,2,0,17.0,1.5,5.0,.300,0.0,2.0,.000,1.5,3.0,.500,0.0,0.0,,1.0,4.5,0.0,1.5,1.0,1.5,0.5,3.0
Jayne Appel-Marinelli,SAS,C,30,673,30,28,22.4,1.3,3.4,.382,0.0,0.1,.000,1.3,3.3,.398,0.7,1.1,.647,1.3,6.2,1.4,0.8,1.3,1.3,2.5,3.3
Seimone Augustus*,MIN,G-F,16,481,16,16,30.1,6.0,13.6,.440,0.2,1.4,.130,5.8,12.2,.477,1.6,1.6,1.000,0.6,2.9,2.4,0.6,0.3,1.2,1.1,13.8
Valeriane Ayayi,SAS,F,16,147,16,0,9.2,0.9,3.0,.313,0.3,1.3,.190,0.7,1.7,.407,0.2,0.4,.429,0.5,1.8,0.4,0.5,0.3,0.6,1.1,2.3
Mistie Bass,PHO,F,33,458,33,7,13.9,1.7,3.3,.514,0.0,0.0,.000,1.7,3.3,.519,0.7,1.3,.545,1.2,3.0,0.7,0.8,0.7,0.6,1.6,4.1
Vicki Baugh,TUL,F-C,34,533,34,6,15.7,2.0,4.3,.473,0.0,0.0,.000,2.0,4.3,.476,1.3,1.8,.738,1.4,4.1,0.6,0.5,0.4,1.3,2.0,5.4
Alana Beard,LAS,G-F,15,365,15,11,24.3,3.3,6.7,.490,0.1,0.7,.182,3.1,5.9,.528,0.6,0.7,.900,0.2,2.9,2.5,1.1,0.5,1.3,2.1,7.3
Alex Bentley,CON,G,25,749,25,25,30.0,5.7,13.9,.409,1.6,4.6,.336,4.1,9.2,.446,1.8,2.1,.830,0.0,2.0,2.0,2.0,0.2,1.2,2.6,14.7
Tiffany Bias,PHO,G,15,95,15,0,6.3,0.7,1.9,.345,0.3,0.8,.333,0.4,1.1,.353,0.3,0.4,.667,0.0,0.1,0.7,0.1,0.0,0.4,0.7,1.9
Sue Bird*,SEA,G,27,773,27,27,28.6,4.0,10.3,.384,0.9,3.1,.301,3.0,7.3,.418,1.4,1.8,.796,0.2,2.3,5.4,0.9,0.1,2.4,1.2,10.3
Abby Bishop,SEA,F,26,509,26,14,19.6,2.0,5.2,.385,0.9,2.7,.329,1.1,2.5,.446,0.3,0.5,.615,0.3,3.5,1.0,0.7,0.8,1.1,2.8,5.2
Kelsey Bone,CON,C,34,961,34,33,28.3,6.6,13.0,.508,0.0,0.1,.000,6.6,12.9,.511,1.8,2.9,.622,1.4,6.1,1.9,0.8,0.6,2.3,2.8,15.0
DeWanna Bonner,PHO,G-F,33,1099,33,33,33.3,4.8,12.7,.378,0.9,3.6,.254,3.9,9.1,.427,5.3,6.1,.866,1.1,5.7,3.3,1.3,0.8,1.8,1.8,15.8
Brittany Boyd,NYL,G,30,430,30,4,14.3,2.0,5.0,.391,0.3,1.0,.267,1.7,4.0,.421,2.4,3.4,.713,0.6,2.7,2.3,1.2,0.1,1.6,1.9,6.6
Crystal Bradford,LAS,F,15,142,15,1,9.5,1.0,3.6,.278,0.4,1.7,.231,0.6,1.9,.321,0.3,0.5,.714,0.3,1.3,0.5,0.4,0.1,0.3,1.3,2.7
Jessica Breland,CHI,F,33,706,33,30,21.4,3.0,6.4,.471,0.0,0.0,,3.0,6.4,.471,0.7,0.9,.774,2.1,5.9,1.3,0.7,1.1,1.0,2.3,6.7
Rebekkah Brunson,MIN,F,34,945,34,34,27.8,3.1,6.8,.455,0.0,0.1,.250,3.1,6.7,.458,1.6,1.9,.831,2.6,8.1,1.8,1.1,0.8,1.6,2.1,7.8
Cierra Burdick,ATL,F,11,208,11,4,18.9,1.5,3.6,.425,0.0,0.1,.000,1.5,3.5,.436,1.3,1.5,.875,0.9,3.2,1.2,0.9,0.5,0.8,1.9,4.4
Essence Carson,NYL,G,33,642,33,12,19.5,2.4,6.2,.380,0.4,1.5,.245,2.0,4.7,.423,1.0,1.3,.773,0.5,2.3,1.3,0.4,0.2,1.0,1.2,6.1
Sydney Carter,ATL,G,26,295,26,7,11.3,0.6,2.8,.208,0.2,1.2,.167,0.4,1.6,.238,0.6,0.8,.800,0.2,0.9,1.2,0.3,0.1,0.6,0.6,2.0
Swin Cash*,NYL,F,34,592,34,28,17.4,1.6,4.1,.376,0.2,1.0,.235,1.3,3.1,.421,1.2,1.6,.727,0.7,2.4,1.4,0.3,0.1,1.1,1.4,4.5
Tamika Catchings*,IND,F,30,799,30,30,26.6,4.2,10.9,.382,0.6,2.0,.295,3.6,8.9,.402,4.2,4.8,.868,1.7,7.1,2.2,1.8,0.8,1.7,2.5,13.1
