league,lg,season,season_start_year,player_name,player_id,team,pos,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,GS
WNBA,WNBA,1997-98,1997,Merlakia Jones,,CLE,G,28,21.0,8.2,0.9,2.9,1.1,3.3,8.2,0.402,0.2,0.4,0.417,3.1,7.8,0.401,1.4,2.0,0.714,0.8,0.1,1.9,2.0,,,,,,1997,1.0,1
WNBA,WNBA,1997-98,1997,Vickie Johnson,,NYL,G-F,26,30.3,9.6,2.5,4.2,1.8,4.2,10.4,0.404,0.2,0.8,0.19,4.0,9.6,0.422,1.0,1.3,0.771,0.7,0.2,1.9,2.0,,,,,,1997,1.0,25
WNBA,WNBA,1997-98,1997,Adrienne Johnson,,CLE,G,25,7.8,2.1,0.4,0.9,0.3,0.9,2.3,0.379,0.1,0.2,0.5,0.8,2.2,0.37,0.3,0.4,0.778,0.2,0.0,1.1,0.5,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Milica Vukadinovic,,CHA,G,1,14.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,3.0,0.0,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Haixia Zheng,,LAS,C,28,19.9,9.3,0.6,4.4,1.1,3.9,6.4,0.618,0.0,0.0,,3.9,6.4,0.618,1.4,2.1,0.661,0.4,0.7,1.6,2.8,,,,,,1997,1.0,21
WNBA,WNBA,1997-98,1997,Corissa Yasen,,SAC,G,19,9.9,2.7,0.3,1.1,0.6,1.2,3.0,0.404,0.0,0.1,0.0,1.2,2.9,0.411,0.3,0.6,0.5,0.9,0.1,0.8,0.9,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Tiffany Woosley,,HOU,G,26,15.3,2.9,1.1,1.1,0.3,1.1,3.4,0.33,0.6,1.9,0.32,0.5,1.5,0.342,0.1,0.3,0.25,0.7,0.0,1.2,0.7,,,,,,1997,1.0,4
WNBA,WNBA,1997-98,1997,Lynette Woodard*,,CLE,G,28,25.4,7.8,2.4,4.1,1.3,3.1,7.8,0.401,0.0,0.3,0.0,3.1,7.5,0.414,1.5,2.3,0.672,1.6,0.4,2.5,1.6,,,,,,1997,1.0,27
WNBA,WNBA,1997-98,1997,Sophia Witherspoon,,NYL,G,28,31.0,14.5,2.3,3.0,1.1,5.0,12.3,0.406,1.6,4.5,0.349,3.4,7.8,0.438,3.0,4.0,0.748,1.8,0.3,2.8,2.2,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Tara Williams,,PHO,G,12,7.0,3.1,0.3,0.7,0.1,1.3,3.3,0.41,0.4,0.9,0.455,0.9,2.3,0.393,0.0,0.0,,0.3,0.0,0.3,0.8,,,,,,1997,1.0,0
